Title,Alternate Title(s),Year,Manufacturer,Genre(s),Max. Players,Random_Column_1,Unused_2,Irrelevant_3
Onna Sansirou - Typhoon Gal,—,1985,Taito,,2,Nggywn,,Y6cLb2r
Operation Thunderbolt,—,1988,Taito,Shooting gallery,2,gbHfN,,iSF76A
Operation Tiger,—,1998,Taito,Shooting gallery,2,a5ZXBWL,,bYj7sItt
Operation Wolf,—,1987,Taito,Shooting gallery,2,GDlMmE8z,,Re1nHgs
Operation Wolf 3,—,1994,Taito,Shooting gallery,2,z95JLnj,,tfO2tXFk
Orbit,—,1978,Atari,Multi-directional shooter,2,7SgyOQpt,,puRLu0
Ordyne,—,1988,Namco,Scrolling shooter,2,tJlF65nC,,buREK
Oriental Legend,—,1997,International Game System,Beat 'em up,4,eVEZW,,TAGK3Q
Osman,Cannon Dancer,1996,Mitchell Corporation,Platformer,1,Y0OR9W,,OALwt
Otomedius,—,2007,Konami,Scrolling shooter,,OPfSko,,h9eCKfBF
"Outfoxies, The",—,1995,Namco,Shoot'em up/Fighting game,2,rxeHBXD,,928LghF
