Name,Founded,Defunct,Country,Publisher,Topics,External Link,Filler_1,Irrelevant_2,Random_Column_3
ACE,1987,1992,United Kingdom,Future Publishing,"Atari ST, Amiga, C64, ZX Spectrum, Amstrad CPC, and newly released machines",N/A,TPwLvs,blkz4,7Tin4Lan
Amiga Action,1989,1996,United Kingdom,Europress,Amiga games magazine which merged with Amiga Computing in 1996.,N/A,WivOQ,I6H77HB,bt2jie
Amiga Active,1999,2001,United Kingdom,Pinprint Publishing,Amiga magazine with CU Amiga staff.,N/A,AGSjAV,5Wqm40r,iqWXB
Amiga Computing,1988,1997,United Kingdom,Europress,Amiga hardware magazine with a games section called Gamer. When Amiga Action was incorporated it became the games section.,N/A,wvuwTX,0XUruE,ZzqJR
Amiga Force,1992,1994,United Kingdom,Europress Impact,Amiga games magazine,N/A,UQhGh,Lau4jw9,HsKYb
Amiga Format,1989,2000,United Kingdom,Future Publishing,Amiga magazine with hardware focus.,N/A,thzDIP,WQDzN,yZmgO
Amiga Power,1991,1996,United Kingdom,Future Publishing,Amiga games magazine,N/A,irojws,HOaFEh3,hCf5dD
Amiga Survivor,?,?,United Kingdom,Crystal Software,Amiga magazine which started life as a fanzine called The Domain.,N/A,qAPaAyMj,TbxzkBy,HXRRKy
Amiga User International,1988,1997,Europe,AUI Limited,Amiga magazine later published by AUI Limited.,N/A,cZdHM,HJLKBz,FIQ1dDu8
Amtix!,1985,1987,United Kingdom,Newsfield Publications Ltd.,Amstrad CPC games magazine; merged with Computing With The Amstrad.,N/A,QZmaLCL,M5tK9E0,WrDtb
Atari Age,1982,1984,United States,?,Atari related topics,N/A,Qjgkx,kd0MYHu,1HniW
