Name,Founded,Defunct,Country,Publisher,Topics,External Link
gamesTM,2002,,United Kingdom,?,UK-based computer and video games magazine,?
Hoog Spel,1990,2000,The Netherlands,?,Dutch gaming magazine,?
LeveL,1997,,Turkey,?,"PC, PS3, XBOX360, Wii, PSP, Nintendo DS",http://www.level.com.tr/
meeveo,2013,,Germany,?,News and information about Games and Hardware,http://www.meeveo.eu
Micro Adventurer,1983,1985,United Kingdom,Sunshine Publications,"Adventure games focused magazine for all formats, including Spectrum, Vic 20, BBC, Dragon, Apple, C64",
NGamer,2006,2012,United Kingdom,?,British magazine mainly covering Nintendo products,N/A
Newbez,2013,,United States,?,American Magazine Covering the Gamer's Voice Gaming products,N/A
Nintendo Force,2013,,United States,MagCloud/NF Publishing LLC,Spiritual successor to Nintendo Power,http://www.nfmagazine.com/
Nintendo La Rivista Ufficiale,2002,,Italy,?,Italian Nintendo related topics,?
Nintendo Magazine System (Australia),1993,2000,Australia,Catalyst Publishing,Australian Nintendo related topics,N/A
