Name,Founded,Defunct,Country,Publisher,Topics,External Link
Atari User,1985,1988,United Kingdom,Database Publications Ltd.(later known as Europress),"Atari, Atari ST when released; its spin-off was Atari ST User",N/A
Atari ST User,1987,1994,United Kingdom,Database Publications Ltd.(later known as Europress),Atari ST magazine with hardware focus; merged with ST Action,N/A
Bazinama,2002,,Iran,?,Iranian video game magazine,http://www.bazinama.com/
Bazy Rayaneh,2002,,Iran,?,Iranian video game magazine,http://www.bazyrayaneh.com/
BGamer,1998,,Portugal,"Goody, SA","General video gaming, Hardware",http://www.bgamer.pt
BioGamer Girl Magazine,2010,,United States,?,"Horror, Gaming, Females",http://www.biogamergirl.com
Commodore Force,1993,1994,United Kingdom,Europress Impact,Commodore 64 games; originally named Zzap!64,?
Commodore User,1983,1998,United Kingdom,EMAP,"Commodore, Vic 20 (at first); renamed CU Amiga in 1990 to concentrate on Commodore Amiga machine.",http://www.cu-amiga.co.uk/
Computer and Video Games,1981,2004,United Kingdom,Future Publishing,"Home computing, arcade games, video games.",http://ComputerAndVideoGames.com
Computer Gaming World,1981,2006,United States,Ziff Davis,"PC game topics, occasional console game topics",N/A
