Name,Founded,Defunct,Country,Publisher,Topics,External Link
Expert Gamer,1998,2001,United States,?,The bulk of XG's content was video game strategy guides and cheat codes. There were no reviews and only occasional light-hearted features.,?
FUN! Online Games Magazine,2009,,United States,?,Children's online games,?
Gamemunition,2010,,Pakistan,?,We Speak Games,http://www.gamemunition.com/
GamePro,1989,2011,United States,?,General video gaming,http://www.gamepro.com
Giochi per il mio computer,1997,,Italy,?,Italian video game magazine,?
Game Developer (magazine),1994,2013,United States,?,The premier magazine for working (and aspiring) video game creators,http://www.gdmag.com
Games for Windows: The Official Magazine,2006,2008,United States,?,?,?
Game Informer,1991,,United States,?,?,http://gameinformer.com
GameStar,1997,,Germany,?,PC games,http://www.gamestar.de/
GameNOW,2001,2004,United States,?,?,
