Name,Founded,Defunct,Country,Publisher,Topics,External Link,Noise_Field_1,Random_Column_2,Dummy_Col_3
Nintendo Power,1988,2012,United States,?,?,http://www.nintendopower.com,djyfKjQb,TLPaa,mIxamj
Official Dreamcast Magazine (UK),1999,2001,United Kingdom,?,UK Dreamcast related topics,?,NotkKy,bKfXRnI5,YjWEWB
Official Dreamcast Magazine (US),1999,2001,United States,?,US Dreamcast related topics,?,inTPz,8zt3wNee,bGZZKj
Official Nintendo Magazine,2006,,"United Kingdom, Australia",Future Publishing,"UK, Australia Nintendo related topics",http://www.officialnintendomagazine.co.uk/,MOHitmGs,17fH3,WetBUiIO
Official PlayStation Magazine (Australia),2007,,Australia,?,Australian PlayStation related topics,?,Ujumdcm,JKLGzN,vUnDf
Official UK PlayStation Magazine,1995,2004,United Kingdom,?,UK PlayStation related topics,?,IMByNMf,foHp5,VICTWE
Official U.S. PlayStation Magazine,1997,2007,United States,?,US PlayStation related topics,?,bBHOvz,hgKAK,gWjyUiW
Official Xbox Magazine,2001,,United States,?,Xbox related topics,http://oxmonline.com/,ueUFLDG,1qh1MUoT,BfQogiR
Oyungezer,2007,,Turkey,?,"PC, PS3, XBOX360, Wii, PSP, Nintendo DS",http://oyungezer.com.tr/,pQzTJPa,WsPFE,FPVEWk
Page 6,1982,1998,United Kingdom,?,The Atari 8-bit range and Atari ST,http://www.page6.org/,SmNNuU,YRRGMhDb,YDhTyCbJ
