Name,Founded,Defunct,Country,Publisher,Topics,External Link,Irrelevant_1,Extra_Data_2
Sega Saturn Magazine,1994,1998,United Kingdom,?,?,?,iUmVcQZN,752
Sinclair User,1982,1993,United Kingdom,?,Sinclair Spectrum,http://www.sincuser.f9.co.uk/,v8gtF7,434
SKOAR!,2003,,India,Jasubhai Digital Media Pvt. Ltd.,An Indian game magazine,http://skoar.thinkdigit.com/,E23itRT,134
Thirteen1,2008,,United Kingdom,T1 Publishing Ltd,A free online-based game magazine,http://www.thirteen1.com/,WUNAbmsD,945
Videogaming Illustrated,1982,1983,United States,"Ion International, Inc.",Video games,N/A,ydSzhqD4,154
Xbox Magazine Ufficiale,?,,Italy,?,Italian Xbox related topics,?,mLgiNI,232
Xbox World,2003,2012,United Kingdom,Future Publishing,Xbox video game consoles and Xbox games,?,heHCiTV,716
Your Sinclair,1986,1993,United Kingdom,Future Publishing,Sinclair Spectrum,http://www.ysrnry.co.uk/,El5vFI,720
Your Spectrum,1984,1985,United Kingdom,Sportscene Specialist Press,Sinclair Spectrum,http://www.users.globalnet.co.uk/~jg27paw4/,kD2YG2u,852
Zzap!64,1985,1992,United Kingdom,Future Publishing,Commodore 64 games; renamed Commodore Force in 1992,?,cQ9jI,71
