Year,Title,Chart positionsNOR,Chart positionsAUS,Chart positionsAUT,Chart positionsBEL,Chart positionsGER,Chart positionsNL,Chart positionsNZ,Chart positionsSWE,Chart positionsSWI,Chart positionsUK,Album
2003,"\She's So High\""""",1,60,42,9,25,16,38,—,91,25,I
2004,"\Here She Comes\""""",12,—,—,53,—,—,—,—,—,—,I
2004,"\All You Have to Offer\""""",—,—,—,—,—,—,—,—,—,—,I
2004,"\My Street\""""",—,—,—,—,—,—,—,—,—,—,A Part of Me
2004,"\Before You Leave\""""",—,—,—,52,—,—,—,—,—,—,A Part of Me
2005,"\Never Easy\""""",—,—,—,—,—,—,—,—,—,—,A Part of Me
2006,"\When the Stars Go Blue\"" (featuring Venke Knutson)""",14,—,—,—,—,—,—,—,—,—,Venke Knutson's Places I've Been
2006,"\Hallelujah\"" (with Espen Lind"," Askil Holm and Alejandro Fuentes)""",1,—,—,—,—,—,—,—,—,—
2006,"\Boys Of Summer\"" (with Espen Lind"," Askil Holm and Alejandro Fuentes)""",12,—,—,—,—,—,—,—,—,—
2007,\Push," Push\""""",1,—,—,—,—,—,—,—,—,—
