,Name,Took office,Left office,Party,Notes/Events
20,Charles S. Sewall,"January 2, 1843","March 3, 1843",Democratic,
21,John Wethered,"March 4, 1843","March 3, 1845",Whig,
22,Thomas Watkins Ligon,"March 4, 1845","March 3, 1849",Democratic,
23,Edward Hammond,"March 4, 1849","March 3, 1853",Democratic,
24,Joshua Van Sant,"March 4, 1853","March 3, 1855",Democratic,
25,James Morrison Harris,"March 4, 1855","March 3, 1861",Know-Nothing,
26,Cornelius Lawrence Ludlow Leary,"March 4, 1861","March 3, 1863",Unionist,
27,Henry Winter Davis,"March 4, 1863","March 3, 1865",Unconditional Unionist,
28,Charles Edward Phelps,"March 4, 1865","March 3, 1867",Unconditional Unionist,
28,Charles Edward Phelps,"March 4, 1867","March 4, 1869",Conservative,
