,Name,Took office,Left office,Party,Notes/Events,Extra_Data_1
29,Thomas Swann,"March 4, 1869","March 3, 1873",Democratic,Redistricted to the 4th district,848
30,William James O'Brien,"March 4, 1873","March 3, 1877",Democratic,,864
31,William Kimmel,"March 4, 1877","March 3, 1881",Democratic,,341
32,Fetter Schrier Hoblitzell,"March 4, 1881","March 3, 1885",Democratic,,582
33,William Hinson Cole,"March 4, 1885","July 8, 1886",Democratic,died,408
34,Harry Welles Rusk,"November 2, 1886","March 3, 1897",Democratic,,434
35,William Samuel Booze,"March 4, 1897","March 3, 1899",Republican,,732
36,Frank Charles Wachter,"March 4, 1899","March 3, 1907",Democratic,,253
37,Harry Benjamin Wolf,"March 4, 1907","March 3, 1909",Democratic,,175
38,John Kronmiller,"March 4, 1909","March 3, 1911",Republican,,647
