,Name,Took office,Left office,Party,Notes/Events
39,George Konig,"March 4, 1911","May 31, 1913",Democratic,died
40,Charles Pearce Coady,"November 4, 1913","March 3, 1921",Democratic,
41,John Boynton Philip Clayton Hill,"March 4, 1921","March 3, 1927",Republican,
42,Vincent Palmisano,"March 4, 1927","January 3, 1939",Democratic,
43,"Thomas D'Alesandro, Jr.","January 3, 1939","May 16, 1947",Democratic,resigned to become Mayor of Baltimore
44,Edward Garmatz,"July 15, 1947","January 3, 1973",Democratic,
45,Paul Sarbanes,"January 3, 1973","January 3, 1977",Democratic,Redistricted from the 4th district
46,Barbara Mikulski,"January 3, 1977","January 3, 1987",Democratic,
47,Benjamin Cardin,"January 3, 1987","January 3, 2007",Democratic,
48,John Sarbanes,"January 3, 2007",Incumbent,Democratic,
