Date,Venue,Opponent,Result,Tournament,Scored
16 May 2010,Craven Park,Crusaders,54-10,Super League XV,2
21 May 2010,Knowsley Road,St. Helens,68-12,Super League XV,1
20 June 2010,Craven Park,Harlequins RL,42-6,Super League XV,2
25 June 2010,Galpharm Stadium,Huddersfield Giants,16-16,Super League XV,1
4 July 2010,Belle Vue,Wakefield Trinity Wildcats,14-46,Super League XV,1
15 July 2010,KC Stadium,Hull,20-16,Super League XV,1
24 July 2010,Craven Park,Bradford Bulls,49-24,Super League XV,2
15 August 2010,The Willows,Salford City Reds,18-44,Super League XV,2
13 February 2011,Millennium Stadium,Hull,22-34,Super League XV,1
20 February 2011,Halliwell Jones Stadium,Warrington Wolves,24-22,Super League,2
7 March 2011,The Jungle,Castleford Tigers,27-14,Super League,1
25 June 2011,Twickenham Stoop,Harlequins RL,0-34,Super League,1
