Title,Artist,Year,Location/GPS Coordinates,Material,Dimensions,Owner
Earth Point,Karen Brown,2003,"Office of Homeland Security, 2720 Martin Luther King Jr. Ave., S.E.",,,
Ready,William Wegman,,L'Enfant Plaza Metro Station,,,
Southwest Gateway,G. Byron Peck,2008,"12th St Tunnels, Maine Ave SW & 12th St, S.W.",,2400 Sq. Ft.,
Dragon Gate,Andrew T. Crawford,2007,"Alley, between 603 and 604 H St., N.W.",,,
Balance,Marcia Billig,2002,"13th St., N.E. & Constitution Ave., N.E. & Tennessee Ave., N.E.",Bronze,,
Ocean Piece,Jorge Martin,1995,Archives station,Marble,,Washington Metro
The Tempest,Greg Wyatt,1993–1994,Folger Shakespeare Library,,,Folger Shakespeare Library
Julius Caesar,Greg Wyatt,1993–1994,Folger Shakespeare Library,,,Folger Shakespeare Library
King Lear,Greg Wyatt,1993–1994,Folger Shakespeare Library,,,Folger Shakespeare Library
Hamlet,Greg Wyatt,1993–1994,Folger Shakespeare Library,,,Folger Shakespeare Library
Twelfth Night,Greg Wyatt,1993–1994,Folger Shakespeare Library,,,Folger Shakespeare Library
A Midsummer Night's Dream,Greg Wyatt,1993–1994,Folger Shakespeare Library,,,Folger Shakespeare Library
"Henry IV, Part 2",Greg Wyatt,1993–1994,Folger Shakespeare Library,,,Folger Shakespeare Library
Macbeth,Greg Wyatt,1993–1994,Folger Shakespeare Library,,,Folger Shakespeare Library
Bearing Witness,Martin Puryear,ca. 1998,"Ronald Reagan Building and International Trade Center, Woodrow Wilson Plaza 38°53′36.98″N 77°1′47.46″W﻿ / ﻿38.8936056°N 77.0298500°W",Hammer-formed bronze plate,Approx. H. 40 ft.,
Federal Triangle Flowers,Stephen Robin,ca. 1998,"Ronald Reagan Building and International Trade Center, Woodrow Wilson Plaza 38°53′38.03″N 77°1′46.75″W﻿ / ﻿38.8938972°N 77.0296528°W",Aluminum & Limestone,Sculptures: approx. H. 10 ft. × L. 14 ft. × W. 7 ft.,
Robert F. Kennedy Memorial,Robert Berks,ca. 1969,United States Department of Justice,Bronze & Marble,,
Lions,Unknown,,"Capital Grille, 601 Pennsylvania Ave., N.W.",,,
Rhodes Tavern Plaque,Unknown,2002,"F & 15th Sts., N.W.38°53′51″N 77°2′1″W﻿ / ﻿38.89750°N 77.03361°W",,,
