Title,Artist,Year,Location/GPS Coordinates,Material,Dimensions,Owner
Library of Congress Annex Doors,Lee Lawrie,1938,Adams buildingLibrary of Congress,Bronze,3 sets of doors. Each set of doors: approx. H. 12 ft.,United States Capitol
A Cascade of Books,Frank Eliscu,ca. 1983,Library of Congress,Bronze,Sculpture: approx. L. 50 ft. × W. 25 ft.,United States Capitol
Equal Justice Under Law,Robert Ingersoll Aitken,1935,United States Supreme Court Building,Vermont Marble,Pediment: approx. H. 18 ft. W. 60 ft.,United States Capitol
Library of Congress Doors,"Herbert Adams, Levi Olin Warner & Frederick William MacMonnies",1896,Library of Congress,Bronze,H 14 ft × W 7½ ft.,United States Capitol
Past,Robert Ingersoll Aitken,1935,National Archives and Records Administration,Indiana Limestone,Sculpture: approx. 20 × 8 × 12 ft.; Base: approx. 12 × 12 × 15 ft.,General Services Administration
Present,Robert Ingersoll Aitken,1935,National Archives and Records Administration,Indiana Limestone,Sculpture: approx. 20 × 8 × 12 ft.; Base: approx. 12 × 12 × 15 ft.,General Services Administration
Build-Grow,Richard Hunt,1992,700 11th St NW,Welded Bronze,Sculpture: approx. 23 ft. × 84 in. × 84 in.,Collin Equities
Growth Columns,Richard Hunt,1992,700 11th St NW,Welded Bronze,4 columns. Columns: approx. H. ranges 15 to 19 ft. Diam. ranges 12 to 16 in.,Collin Equities
Branching Column,Richard Hunt,1992,700 11th St NW,Welded Bronze,Sculpture: approx. 4 × 3 × 2 ft.; Base: approx. H. 7 ft. Diam. 8 in.,Collin Equities
Swan Column,Richard Hunt,1992,700 11th St NW,Welded Bronze,Sculpture: approx. H. 3 ft. W. 4 ft.; Base: approx. H. 6 ft. Diam: 11 ft.,Collin Equities
Composition for the Axemen,Ken Wyten,,"830 First Street, N.E., Washington, District of Columbia",,,"Dreyfus, Zuckerman & Kronstadt"
Trigadilly,Chas Coburn,1990,"820 1st St, N.W. – Courtyard",Painted Steel,Sculpture: approx. 35 s 4 × 16 ft.; Base: approx. 8 × 4 × 20 ft.,"Dreyfus, Zuckerman & Kronstadt"
The Yellow Line,Constance Flueres,1989,Gallery Place Metro,,,Washington Metro
The Glory of Chinese Descendants,Foon Sham,2000,"Gallery Place Metro, Chinatown Exit",,,Washington Metro]
Epoch,Albert Paley,2004,PEPCO Headquarters,,,Washington Metro]
Air Shaft Tunnel,Val E. Lewton,1992,H St. N.W. & 3rd St. N.W.,,,
Of the People,Egon Daley,1995,"One Judiciary Square, 441 4th St., N.W.",,,
Quadrature Nimbii,Val E. Lewton,1996,"One Judiciary Square, 441 4th St., N.W.",,,
Hopscotch Bridge,Val E. Lewton,1997,"H Street Bridge, H St. between N Capitol 7 1st St.",,,
