Title,Artist,Year,Location/GPS Coordinates,Material,Dimensions,Owner
Drafting the Declaration of Independence,Adolph Weinman,1943,East Potomac Park 38°52′53.17″N 77°2′11.81″W﻿ / ﻿38.8814361°N 77.0366139°W,Marble,Pediment: approx. H. 10 ft. W. 65 ft.,National Park Service
Jefferson Memorial: Thomas Jefferson,Rudulph Evans,1943,East Potomac Park38°52′53″N 77°2′12″W﻿ / ﻿38.88139°N 77.03667°W,Bronze,Sculpture: H. 19 ft.; Base: H. 6 ft.,National Park Service
The Progress of Railroading,Louis St. Gaudens,1908,Union Station,Granite,6 figures. Each figure: H. 18 ft.,
Columbus Statue,Lorado Taft,1912,Union Station,Marble,45 × 66 × 44 ft.; Shaft: H. 40 ft.; Basin: D. 64 ft.,United States Department of the Interior
Vaquero,Luis Jiménez,1990,Smithsonian American Art Museum,"Acrylic urethane, fiberglass & steel armature",H. 16½ ft.,Smithsonian American Art Museum
Abundance and Industry,Sherry Edmundson Fry,1936,United States Customs Building,Limestone,11 ft. 3 in. × 26½ ft.,General Services Administration
Albert Gallatin,James Earle Fraser,1941,"United States Treasury Department Office of the Curator, 15th St & Pennsylvania Ave, N.W.38°53′54″N 77°2′04″W﻿ / ﻿38.89833°N 77.03444°W",Bronze,Sculpture: approx. H. 8 ft.; Base: approx. H. 4 ft.,United States Treasury Department
Trylon of Freedom,C. Paul Jennewein,1954,Federal District Court,Granite,H. 24 ft.,Federal District Court
Abraham Lincoln,Lot Flannery,1868,Supreme Court of the District of Columbia,Marble,Sculpture: approx. 7 ft. 3 in. × 2 ft. 9 in. × 2 ft. 5 in.; Base: approx. 6 ft. 4 in. × 7 ft. × 7 ft.,"District of Columbia, Department of Administrative Services"
Oscar Straus Memorial,Adolph Alexander Weinman,1947,"Interior courtyard of Federal Triangle at 14th & Constitution Ave, N.W.38°53′38″N 77°1′54″W﻿ / ﻿38.89389°N 77.03167°W",Bronze,5 ft. × 5 ft. 6 in. × 11 ft. 6 in.,General Services Administration
Sir William Blackstone,Paul Wayland Bartlett,ca. 1920,Constitution Ave. & 3rd St. N.W.38°53′33″N 77°0′57″W﻿ / ﻿38.89250°N 77.01583°W,Gilded Bronze,Sculpture: approx. H. 9 ft.,United States Department of the Interior
Darlington Memorial Fountain: Nymph and Fawn,C. Paul Jennewein,1922,Judiciary Park at 5th & D St.38°53′43″N 77°1′07″W﻿ / ﻿38.89528°N 77.01861°W,Gilded Bronze,Figure: approx. H. 5 × 3 × 3 ft.; Base: approx. H. 4 ft. × 3 ft. 6 in. × 3 ft.; Basin: approx. H. 1⅓ ft. × Diam. 18 ft.,District of Columbia
Benjamin Franklin,Jacques Jouvenal,1889,Old Post Office Pavilion38°53′41″N 77°1′40″W﻿ / ﻿38.89472°N 77.02778°W,Carrara Marble,Sculpture: approx. H. 8 ft.; Base: approx. W. 5½ ft. × D. 5½ ft.,United States Department of the Interior
Mary McLeod Bethune Memorial,Robert Berks,1973,Lincoln Park38°53′23″N 76°59′20″W﻿ / ﻿38.88972°N 76.98889°W,Bronze,Sculpture: approx. 10 × 15.5 × 9 ft.; Base: approx. 5 ft. 5 in. × 25 ft. × 20 ft.,United States Department of the Interior
Temperance Fountain,Henry D. Cogswell,1880,"Pennsylvania Ave & 7th St, N.W.38°52′37.7″N 77°1′18.1″W﻿ / ﻿38.877139°N 77.021694°W",Bronze or Zinc,Overall: approx. H. 14 ft.; Fish sculpture: approx. H. 4 ft. 8 in.; Figure base: approx. H. 3 ft. 7 in. Diam. 2 ft. 3 in.,United States Department of the Interior
Major General Nathanael Greene,Henry Kirke Brown,1877,Stanton Park38°52′37″N 76°59′59″W﻿ / ﻿38.87694°N 76.99972°W,Bronze,Sculpture: approx. H. 11 ft. W. 15 ft.; Base: approx. 14 × 17 × 8 ft.,United States Department of the Interior
Elbridge Gerry Monument,John Frazee,1823,"Congressional Cemetery, NE Section, Range 29, site 9–1038°52′57″N 76°58′41″W﻿ / ﻿38.88250°N 76.97806°W",Marble,Sculpture: approx. 11 ft. × 4 ft. 10 in. × 4 ft. 10 in.; Base: approx. 10 in. × 6 ft. × 6 ft.,Association for the Preservation of Historic Congressional Cemetery
Department of Justice Pediment: Ars Boni and Ars Aequi,C. Paul Jennewein,1934,Robert F. Kennedy Department of Justice Building,Limestone,2 pediments. Each: L. 50 ft.,United States Department of Justice
Bureaus of the Department of Commerce,James Earle Fraser,1931,United States Department of Commerce 38°53′39.48″N 77°1′58.08″W﻿ / ﻿38.8943000°N 77.0328000°W,Limestone,8 reliefs. Each relief: approx. H. 5 ft. W. 3 ft.,General Services Administration
Alexander Robey Shepherd,Ulric Stonewall Jackson Dunbar,1905,John A. Wilson Building 38°53′43.36″N 77°1′53.74″W﻿ / ﻿38.8953778°N 77.0315944°W,Bronze,Sculpture: approx. H. 8 ft.; Base: approx. H. 7 ft. 6 in. W. 9 ft. 3 in.,District of Columbia
