Title,Artist,Year,Location/GPS Coordinates,Material,Dimensions,Owner
John Philip Sousa Monument,Unknown,ca. 1933,Congressional Cemetery,,,Association for the Preservation of Historic Congressional Cemetery
Walter Jones Memorial,Unknown,,Congressional Cemetery,Marble,,Association for the Preservation of Historic Congressional Cemetery
General Alexander Macomb Monument,Unknown,1941,"Congressional Cemetery – NE Section, Range 55, Site 147",Marble & Granite,Obelisk: approx. H. 78 in.; Shaft: approx. 22 × 40 × 40 in.; Base: approx. 14 × 42 × 42 in.,Association for the Preservation of Historic Congressional Cemetery
Taza (Burial Marker),Doug Hyde,1971,Congressional Cemetery,Stone & Granite,Sculpture: approx. 1 ft. 6 in. × 1 ft. 6 in. × 8 in.; Base: approx. 4 in. × 2 ft. × 10 in.,Association for the Preservation of Historic Congressional Cemetery
Latrobe Cenotaphs,Benjamin Henry Latrobe,1816–1877,Congressional Cemetery,Sandstone,Over 100. Each: H. 4½ ft.,Association for the Preservation of Historic Congressional Cemetery
Lieutenant John T. McLaughlin Monument,Struthers & Company,1847,"Congressional Cemetery – SE Section, Range 50, Site 253",Marble,,Association for the Preservation of Historic Congressional Cemetery
Arsenal Monument,Lot Flannery,1865,"Congressional Cemetery – NW Section, Range 97, Section 14238°52′53″N 76°58′50″W﻿ / ﻿38.88139°N 76.98056°W","Marble, Granite",Sculpture: 25 ft. × 5 ft. 6 in. × 5 ft. 6 in. Base: 1 ft. 1 in. × 6 ft. × 6 ft.,National Cemetery Administration
The Progress of Civilization,Thomas Crawford,1859,"United States Capitol, Senate Wing",Marble,Pediment: L. 80 ft. × H. 12 ft.,Architect of the Capitol
General Casimir Pulaski,Kazimierz Chodziński,1910,"Pennsylvania Ave & 13th St., N.W. 38°53′45.41″N 77°1′48.1″W﻿ / ﻿38.8959472°N 77.030028°W",Bronze,Sculpture: approx. H. 15 ft. W. 12 ft.; Base: approx. H. 12 ft. W. 15 ft.,United States Department of the Interior
Water,C. Paul Jennewein,1933,"United States Department of Justice, 10th St. & Constitution Ave., N.W.",Marble,,Department of Justice
Fire,C. Paul Jennewein,1933,"United States Department of Justice, 10th St. & Constitution Ave., N.W.",,,Department of Justice
Viking Ships Relief,C. Paul Jennewein,1932–1934,"United States Department of Justice, 10th St. & Constitution Ave., N.W.",Limestone,,Department of Justice
Four Winds Reliefs,C. Paul Jennewein,1932–1934,"United States Department of Justice, 10th St. & Constitution Ave., N.W.",Limestone,,Department of Justice
Law and Order Relief,C. Paul Jennewein,1935,"United States Department of Justice, 10th St. & Constitution Ave., N.W.38°53′45″N 77°1′48″W﻿ / ﻿38.89583°N 77.03000°W",Limestone,Relief: approx. H. 6 ft. W. 10 ft.,General Services Administration
Brigadier General Albert Pike,Gaetano Trentanove,Cast 1899,"3rd & D St., N.W.",Bronze & Granite,Sculpture: approx. H. 11 ft.; Base: approx. W. 17 ft. 1 in. D. 17 ft. 2 in.,United States Department of the Interior
Captain Nathan Hale,Bela Lyon Pratt,Cast 1930,United States Department of Justice,Bronze & Granite,Sculpture: approx. 76 × 26 × 23 in.; Base: approx. 49¼ × 27 × 26½ in.,General Services Administration
Supreme Court Flagpole Bases,John Donnelly,1935,United States Capitol,Bronze & Marble,2 flagpole bases. Each flagpole base: approx. H. 9 ft. W. 6 ft.,Architect of the Capitol
Genius of America,Bruno Mankowski,1828,United States Capitol,Marble,Pediment: approx. W. 81 ft. 6 in.; Figures: approx. H. 9 ft.,Architect of the Capitol
Columbia Pediment,Edgar Walter,1935,"United State Customs Building, 14th & Constitution, N.W. 38°53′32.18″N 77°1′55.21″W﻿ / ﻿38.8922722°N 77.0320028°W",Limestone,18 ft. 9 in. × 86 ft. 6 in.,General Services Administration
Commodore John Paul Jones,Charles Henry Niehaus,1912,West Potomac Park38°53′18″N 77°2′22″W﻿ / ﻿38.88833°N 77.03944°W,Bronze,Sculpture: bronze; Base: granite or Vermont marble; Pylon: marble. Fountains: marble.,United States Department of the Interior
