Title,Artist,Year,Location/GPS Coordinates,Material,Dimensions,Owner
The Evolution of Justice Doors,John James Donnelly,1935,United States Supreme Court Building,Bronze,"Overall: approx. H. 17 ft. W. 9½ ft. (3,000 lbs.).",Architect of the Capitol
The Old Brick Capitol Plaque,,1950,United States Supreme Court Building,,,Architect of the Capitol
"Justice, the Guardian of Liberty",Hermon Atkins MacNeil,1935,United States Supreme Court Building,Marble,approx. H. 18 ft. W. 60 ft.,Architect of the Capitol
Figure of Puck over Fountain and Pool,Brenda Putnam,1932,Folger Shakespeare Library,Marble,Sculpture: approx. H. 46 in. × W. 35 in.,Folger Shakespeare Library
Tragedy and Comedy,Paul Philippe Cret,1932,Folger Shakespeare Library,Marble,2 reliefs. Each: approx. H. 2 ft. W. 2 ft.,Folger Shakespeare Library
Scenes from Shakespeare,John Gregory,1932,Folger Shakespeare Library38°53′21.7″N 77°0′11.42″W﻿ / ﻿38.889361°N 77.0031722°W,Marble,9 reliefs. Each: W. 72 in. × H. 62 in.,Folger Shakespeare Library
The Lone Sailor,Stanley Bleifeld,1986,United States Navy Memorial38°53′39″N 77°1′23″W﻿ / ﻿38.89417°N 77.02306°W,Bronze & Granite,2 parts. Figure: approx. 7 ft. 1 in. × 32 in. × 27 in.; Base: approx. H. 2 in. W. 32 in.; Duffel bag: approx. 46 × 24 × 43 in.; Base: approx. 3 × 21 × 30 in.,United States Department of the Interior
United States Navy Memorial,,1987,United States Navy Memorial38°53′39″N 77°1′23″W﻿ / ﻿38.89417°N 77.02306°W,Bronze & Granite,,United States Department of the Interior
Emancipation Memorial,Thomas Ball,1875,Lincoln Park38°53′23″N 76°59′20″W﻿ / ﻿38.88972°N 76.98889°W,Bronze & Granite,Sculpture: approx. 9 × 6 × 4 ft.; Base: approx. 9 × 12 × 10 ft.,United States Department of the Interior
General Winfield Scott Hancock,Henry Jackson Ellicott,1896,7th St & Pennsylvania Ave.38°53′37.46″N 77°1′20.12″W﻿ / ﻿38.8937389°N 77.0222556°W,Bronze & Granite,Sculpture: approx. H. 9 ft. W. 7 ft.; Upper base: approx. 4 ft.x 19 ft. 4 in. × 3 ft. 8 in. Diam . 25 ft.; Lower base: approx. W. 10 ft. L. 17 ft. D. 1 ft. 5 in.,United States Department of the Interior
Columbus Door,Randolph Rogers,1860,United States Capitol,Bronze,16 ft. 8 in. × 9 ft. 9 in.,United States Capitol
War and Peace,"E. Luigi Persico, Paul Manship","1835, Replacement: 1960",United States Capitol,Marble,Sculptures: approx. H. 10 ft.; Base: approx. H. 4 ft. Diam. 45 in.,United States Capitol
James A. Garfield Monument,John Quincy Adams Ward,1887,United States Capitol38°53′19″N 77°0′46″W﻿ / ﻿38.88861°N 77.01278°W,Bronze,Overall: approx. H. 25 ft.; Garfield: approx. H. 9 ft.; Seated figures on base: approx. H. 5 ft.,Architect of the Capitol
Eagles,Frederick Roth,1934,Interstate Commerce Commission,Limestone,,General Services Administration
Intercommunication Between Continents of America and Asia,Sidney Waugh,,Interstate Commerce Commission,Limestone,10 ft. × 45 ft.,General Services Administration
Security of the Mails,Joseph E. Renier,1934,Interstate Commerce Commission,Limestone,3½ ft.,General Services Administration
Spirit of Progress and Civilization Pediment,Adolph Weinman,1934,"Interstate Commerce Commission, 13th St. Facade",Limestone,12 ft. × 67 ft.,General Services Administration
The Recorder of the Archives,James Earle Fraser,1935,"National Archives and Records Administration, 7th & Pennsylvania Ave.",Limestone,H. 8 ft.,National Archives and Records Administration
Medallions on National Archives,"James Earle Fraser, Robert Ingersoll Aitken & Ulysses Ricci",1934,"National Archives and Records Administration, 7th & Pennsylvania Ave. 38°53′33.64″N 77°1′23.15″W﻿ / ﻿38.8926778°N 77.0230972°W",Indiana Limestone,13 medallions. Each medallion: Diam. 8 ft.,National Archives and Records Administration
Acroterion Eagles,"James Earle Fraser, Robert Ingersoll Aitken & Ulysses Ricci",,National Archives and Records Administration,Limestone,,National Archives and Records Administration
