Title,Artist,Year,Location/GPS Coordinates,Material,Dimensions,Owner
Justice and History,Thomas Crawford,Original 1863Replacement 1974,United States Capitol – Senate Wing,Marble,Overall: 3 ft. 10 in. × 11 ft. 2 in. × 2 ft. 2 in.,United States Capitol
Decorative Wreath Panels,Paul Manship,1959–1960,United States Capitol,Marble,,United States Capitol
Lyndon Baines Johnson Megalith,Harold Vogel,1975,Lady Bird Johnson Park,Granite,Approx. 19 × 7 × 7 ft.,United States Department of the Interior
Reverence,Deirdre Saunder,1991,"701 Maryland Avenue, N.E.",Painted metal,Sculpture: approx. 7 ft. × 3 ft. 9 in. × 1/2 in.; Base: approx. 5½ in. × 2 ft. 10 in. × 1 ft. 3 in.,DC Art/Works
The Bex Eagle,Lorenzo Ghiglieri,1982,Pershing Park,Silicon Bronze & Granite,Sculpture: approx. 40½ × 50 × 33 in.; Base: approx. 4 ft. 11 in. × 2 ft. 8 in. × 2 ft. 8 in.,United States Department of the Interior
Social Security Relief Panels,Emma Lu Davis & Henry Kreis,1941,United States Department of Health and Human Services,Granite,3 Panels. Relief: approx. H. 7½ ft. W. 6½.,General Services Administration
Railroad Retirement,Robert Kittredge,1941,United States Department of Health and Human Services,Granite,Relief: approx. 9 ft. × 8 ft. × 6 in.,General Services Administration
Shorepoints I,James Rosati,1977,United States Department of Health and Human Services,Painted Aluminum,Approx. H. 9 ft. W. 20 ft.,General Services Administration
Railroad Employment,Robert Kittredge,1941,"330 C. St, S.W., South Building",Red granite,Relief: approx. 9 ft. × 8 ft. × 6 in.,General Services Administration
Urban Life,John Gregory,1939–1942,"Municipal Center, 300 Indiana Avenue, N.W., West Entrance",Granite,Relief: approx. 12 ft. × 11 ft. × 15 in.,Department of Administrative Services
Health and Welfare,Hildreth Meiere,1941,"Municipal Center, 300 Indiana Avenue, N.W., West Entrance",Ceramic,Mural: approx. H. 8 ft. × W. 81 ft.,Department of Administrative Services
Democracy in Action,Waylande Gregory,1941,"Municipal Center, 300 Indiana Avenue, N.W., West Courtyard",High-fire ceramic clay in terra cotta.,Relief: approx. H. 8 ft. × L. 81 ft.,Department of Administrative Services
Heating Plant Machinery,Paul Philippe Cret,1933,"Central Heating & Refrigeration Plant, 13th St. between C & D St.",,5 reliefs. Four reliefs: approx. H. 1½ ft. W. 2 ft.; One relief: approx. H. 14 ft. W. 7 ft.,General Services Administration
Abstract,Wyten,1989,"820 1st St., N.W.",Painted Metal,Sculpture: approx. 9 × 9 × 9 ft.,Unknown
The Maine Lobsterman,Victor Kahill,1981,"Water St. & 6th St., S.W.38°52′37″N 77°1′18″W﻿ / ﻿38.87694°N 77.02167°W",Bronze & Granite,Sculpture: approx. 5 × 2 × 3½ ft.; Boulder: approx. H. 4 ft.; Flat stone block base: approx. W. 4½ ft. D. 8 ft.,United States Department of the Interior
John Marshall: Chief Justice of the United States,William Wetmore Story,ca. 1920,"C St. & 3rd St., N.W.38°53′36″N 77°1′03″W﻿ / ﻿38.89333°N 77.01750°W",Bronze & Granite,Sculpture: approx. 6 ft. 10 in. × 4 ft. 10 in. × 7 ft. 10 in.; Base: 5 ft. 4 in.x 4 ft. 10 in. 7 ft.,General Services Administration
Torch of Learning,Edward Pearce Casey,1893,Library of Congress,Gilded Copper,Sculpture: approx. H. 15 ft. W. 4½ ft.; Base: approx. W. 6½ ft.,Architect of the Capitol
Ethnological Heads,"William Boyd, Henry Jackson Ellicott & Otis Mason",1891,Library of Congress,Granite,33 keystone heads. Each: approx. H. 18 in. W. 12 in.,Architect of the Capitol
Pension Building Frieze,Caspar Buberl,1883,National Building Museum38°53′52″N 77°1′03″W﻿ / ﻿38.89778°N 77.01750°W,Terra cotta,"approx. H. 3 ft. D. 4 in. L. 1,200 ft.",National Building Museum
The Torch of Freedom,Felix de Weldon,1976,"Constitution Ave. & 2nd St. at Maryland Ave., N.E. 38°53′32.95″N 77°0′59.16″W﻿ / ﻿38.8924861°N 77.0164333°W","Bronze, Granite & Marble",Sculpture: approx. H. 35 ft. W. 7 ft.; Base: approx. H. 1 in. W. 9 ft.,
