Title,Artist,Year,Location/GPS Coordinates,Material,Dimensions,Owner
Art Deco Eagle Lampposts,Nathan C. Wyeth,,"301 C St., N.W.",,,
The Extra Mile,,,"Along Pennsylvania Ave., 15th St., G St., and 11th St.38°53′43.8″N 77°2′0.96″W﻿ / ﻿38.895500°N 77.0336000°W",,,
Boundary Markers,,,"F, G, 4th & 5th Sts., N.W.",,,
Tool de Force,,,National Building Museum,,,
Cristoforo Columbo,Carlo Nicoli,1992,Holy Rosary Church,Bronze,,
Michelangelo Buonarroti,Carlo Nicoli,,Casa Italiana District of Columbia,Marble,,
Giuseppe Verdi,Carlo Nicoli,,Casa Italiana District of Columbia,Marble,,
Dante Alighieri,Carlo Nicoli,,Casa Italiana District of Columbia,Marble,,
Guglielmo Marconi,Carlo Nicoli,,Casa Italiana District of Columbia,Marble,,
The Chess Players,Lloyd Lillie,1983,John Marshall Park,Bronze,"Left figure: approx. 58 × 23 × 28 in., Right figure: approx. 58 × 29 × 38 in.",
Guns into Plowshares,Esther Augsburger & Michael Augsburger,1997,"Indiana Ave. & 4th St., N.W.","Steel and 3,000 disabled handguns.",Sculpture: approx. H. 16 ft.,
National Law Enforcement Officers Memorial,Raymond Kaskey,1991,"E Street, between 4th & 5th Streets, N.W.38°53′48.28″N 77°1′3.19″W﻿ / ﻿38.8967444°N 77.0175528°W",Bronze,Lions: approx. 70 × 35 × 118 in.; Cubs: approx. 25 × 37 × 64 in.,
Lily Pond,David Phillips,,Between the Canadian Embassy and the U.S. Courthouse.,Bronze,,
She Who Must be Obeyed,Tony Smith,,Frances Perkins Building,Steel,,
Slow Rondo,,,"United States National Academies, Keck Center",,,
Dwight D. Eisenhower Memorial,Frank Gehry,,38°53′14″N 77°1′10″W﻿ / ﻿38.88722°N 77.01944°W,,,National Park Service
Spirit of Haida Gwaii,Bill Reid,1988Cast: 1991,Canadian Embassy,Bronze,"13.2 ft. h. × 20 ft. l., 11,000 lbs.",Canadian Embassy
Chthonodynamis,Robert Russin,1992,United States Department of Energy,Granite,,
Heroic Shore Points,James Rosati,ca. 1976,Hubert H. Humphrey Building,Aluminum,,
