Title,Artist,Year,Location/GPS Coordinates,Material,Dimensions,Owner
Apotheosis of Democracy,Paul Wayland Bartlett,1916,United States Capitol,Marble,Pediment: approx. L. 60 ft.,United States Capitol
Bartholdi Fountain,Frédéric Auguste Bartholdi,ca. 1876,United States Capitol,Cast iron,"Fountain: approx. H. 30 ft.; Basin: approx. Diam. 35 ft. (15,000 lbs.).",United States Capitol
Revolutionary War Door,Thomas Crawford William Henry Reinhart,1904,United States Capitol,Bronze,H. 14 ft. 5 in.,United States Capitol
George Washington and the Revolutionary War Door,Thomas Crawford,1864–1868,United States Capitol,Bronze,H. 14 ft. 5 in.,United States Capitol
Statue of Freedom,Thomas Crawford,1860,United States Capitol dome38°53′24″N 77°0′32.4″W﻿ / ﻿38.89000°N 77.009000°W,Bronze,"H. 19 ft. 6 in. (14,985 lbs.).",United States Capitol
Greek Vases,"W.H. Livingston, Sr.",1964,Rayburn House Office Building,Marble,8 vessels. Each: approx. 9 × 3½ × 9 ft.,Architect of the Capitol
Spirit of Justice,C. Paul Jennewein,1961,Rayburn House Office Building38°53′14″N 77°0′39″W﻿ / ﻿38.88722°N 77.01083°W,Marble,Sculpture: approx. 8 × 4½ × 5½ ft.; Base: approx. 6 in. × 4½ ft. × 5½ ft.,United States Capitol
The Majesty of Law,C. Paul Jennewein,1961,Rayburn House Office Building38°53′14″N 77°0′39″W﻿ / ﻿38.88722°N 77.01083°W,Marble,Sculpture: approx. 8 × 4½ × 5½ ft.; Base: approx. 6 in. × 4½ ft. × 5½ ft.,United States Capitol
The Authority of Law,James Earle Fraser,1935,United States Supreme Court38°53′27″N 77°0′20″W﻿ / ﻿38.89083°N 77.00556°W,Marble,Sculpture: approx. 6 × 6 × 8 ft.; Base: approx. 15 × 10 × 12 ft. (45 tons).,United States Capitol
The Contemplation of Justice,James Earle Fraser,1935,United States Supreme Court38°53′26″N 77°0′16″W﻿ / ﻿38.89056°N 77.00444°W,Marble,Sculpture: approx. 6 × 6 × 8 ft.; Base: approx. 15 × 10 × 12 ft. (45 tons).,United States Capitol
United States Supreme Court Justice Bust Collection,Various Artists,1844–Present,United States Supreme Court,Marble,H. 27 in.,United States Supreme Court
American Professional Workers and American Laborers,Joseph Kiselewski,1951,Government Accountability Office,,Each panel: 10 ft. 1 × 16 ft. × 2 ft. 1/2 in.,General Services Administration
Figure,Jacques Lipchitz,1930,Smithsonian Institution 38°53′20.74″N 77°1′22.84″W﻿ / ﻿38.8890944°N 77.0230111°W,Bronze,87½ × 38½ × 28½ in.,Library of Congress
Eminent Men of Letters,Frederick Ruckstull & Herbert Adams,1894–1895,Library of Congress,Granite,H. 3 ft.,Library of Congress
America Fostering the Arts and Industries and Atlantes,William Boyd,1897,Library of Congress,Granite,Male columns: H. 6 ft.,Library of Congress
Progress of Maritime Trade Facilities,William McVey,1937,Apex Building,Aluminum,4 sets of doors. Each: 12½ × 3¾ ft.,General Services Administration
American Eagle,Sidney Waugh,1938,Federal Trade Commission Building 38°53′34.24″N 77°1′17.98″W﻿ / ﻿38.8928444°N 77.0216611°W,Limestone,D. 5½ ft.,General Services Administration
Foreign and Domestic Commerce Pediment,Ulysses Ricci,1934,Herbert C. Hoover Building 38°53′39.48″N 77°1′58.08″W﻿ / ﻿38.8943000°N 77.0328000°W,Limestone,11 × 45 ft.,General Services Administration
Mining Pediment,Frederick Roth,1934,Herbert C. Hoover Building 38°53′39.48″N 77°1′58.08″W﻿ / ﻿38.8943000°N 77.0328000°W,Limestone,11 × 45 ft.,General Services Administration
