Title,Artist,Year,Location/GPS Coordinates,Material,Dimensions,Owner
Aeronautics Pediment,Haig Patigian,1934,Herbert C. Hoover Building 38°53′39.48″N 77°1′58.08″W﻿ / ﻿38.8943000°N 77.0328000°W,Limestone,11 × 45 ft.,General Services Administration
Fisheries Pediment,Joseph Kiselewski,1934,Herbert C. Hoover Building 38°53′39.48″N 77°1′58.08″W﻿ / ﻿38.8943000°N 77.0328000°W,Limestone,11 × 45 ft.,General Services Administration
Heritage,James Earle Fraser,1935,National Archives and Records Administration38°53′32″N 77°1′24″W﻿ / ﻿38.89222°N 77.02333°W,Indiana Limestone,H. 8 ft.,National Archives and Records Administration
Guardianship,James Earle Fraser,1935,National Archives and Records Administration38°53′34″N 77°1′23″W﻿ / ﻿38.89278°N 77.02306°W,Indiana Limestone,H. 8 ft.,National Archives and Records Administration
The Guardians of the Portal,Robert Ingersoll Aitken,1935,National Archives and Records Administration,Indiana Limestone,Two reliefs. Each relief: approx. H. 8 ft. × W. 5 ft.,National Archives and Records Administration
Destiny Pediment,Adolph Alexander Weinman,1935,National Archives and Records Administration 38°53′35.53″N 77°1′22.59″W﻿ / ﻿38.8932028°N 77.0229417°W,"Indiana Limestone, Granite",L. 100 ft.,National Archives and Records Administration
Man Controlling Trade,Michael Lantz,1942,Federal Trade Commission Building 38°53′33.49″N 77°1′14.17″W﻿ / ﻿38.8926361°N 77.0206028°W,Limestone,"2 pieces, each: 15 × 17 × 7 ft.",General Services Administration
"Americans at Work, Past and Present",Various Artists,1938,Federal Trade Commission Building 38°53′32.67″N 77°1′14.94″W﻿ / ﻿38.8924083°N 77.0208167°W,Limestone,6¾ × 12½ ft.,General Services Administration
Primitive Means of the Transmission of Communication,Joseph E. Renier,1934,Interstate Commerce Commission,Limestone,H. 3½ ft.,General Services Administration
The Transmission of the Mail by Day and by Night,Adolph Weinman,1934,Interstate Commerce Commission,Limestone,H. 7 ft.,General Services Administration
Interstate Commerce Commission Pediments,"Joseph Renier, Adolph Weinman, John Donnelly & George Snowden",1934,Interstate Commerce Commission,Limestone,3½ ft.,General Services Administration
Commerce and Communications,Wheeler Williams,1935,Interstate Commerce Commission,Indiana limestone,11 ft. 3in. × 39 ft. 9 in.,General Services Administration
Interstate Transportation,Edward McCartan,1935,Interstate Commerce Commission 38°53′37.24″N 77°1′42.5″W﻿ / ﻿38.8936778°N 77.028472°W,Indiana limestone,11 ft. 3 in. × 39 ft. 9 in.,General Services Administration
Eagle,Michael Lantz,1959,National Guard Association of the United States,Bronze,,National Guard Association of the United States
Acacia Griffins,Edmond Romulus Amateis,ca. 1936,Acacia Life Insurance Company38°53′48″N 77°0′33″W﻿ / ﻿38.89667°N 77.00917°W,Limestone,2 griffins. Each griffin: approx. 5½ × 4½ × 9 ft.; Each base: approx. 58 × 61½ × 118 in.,Acacia Life Insurance Company
Department of Agriculture Pediments,Adolph A. Weinman,1908,Jamie L. Whitten Building 38°53′17.8″N 77°1′47.68″W﻿ / ﻿38.888278°N 77.0299111°W,Vermont Marble,H. 6 ft. × L 25 ft.,United States Department of Agriculture
Scenes from American Industry,Otto Eggers,1956,Dirksen Senate Office Building,Bronze,5 panels. Each: Approx. 3½ ft. square.,Dirksen Senate Office Building
Eagle Pediment,Ulysses Ricci,1956,Dirksen Senate Office Building38°53′42″N 77°2′11″W﻿ / ﻿38.89500°N 77.03639°W,Marble,D 4 ft.,Dirksen Senate Office Building
Olive Risley Seward,John Cavanaugh,1971,"601 N. Carolina Ave, S.E.38°53′11″N 76°59′54″W﻿ / ﻿38.88639°N 76.99833°W",Lead over burlap,Sculpture: approx. 72 × 24 × 27 in.; Stone base: approx. 30 × 18 × 18 in.,"Kresh, David & Diane"
