Saros,Member,Date,Time(Greatest)UTC,Type,"LocationLat,Long",Gamma,Mag.,Width(km),Duration(min:sec),Ref,Random_Column_1
160,13,"September 22, 2397",0:23:55,Annular,30.9S 157.2E,-0.5892,0.9728,118,2m 34s,[13],ZS7D2GF
160,14,"October 3, 2415",7:47:48,Annular,31.8S 47.4E,-0.5335,0.9736,110,2m 27s,[14],GdoWA
160,15,"October 13, 2433",15:20:16,Annular,33.4S 64.2W,-0.484,0.9742,104,2m 23s,[15],amMDXRbI
160,16,"October 24, 2451",23:03:09,Annular,35.3S 178.3W,-0.4424,0.9746,101,2m 21s,[16],pPLOp
160,17,"November 4, 2469",6:55:37,Annular,37.5S 65.7E,-0.4081,0.975,97,2m 19s,[17],Wmxt9yq3
160,18,"November 15, 2487",14:57:35,Annular,39.5S 52.3W,-0.3807,0.9756,94,2m 16s,[18],4o3Xt8
160,19,"November 26, 2505",23:07:04,Annular,41.2S 171.6W,-0.3588,0.9763,91,2m 13s,[19],A9v5O
160,20,"December 8, 2523",7:24:54,Annular,42.4S 67.5E,-0.3431,0.9774,86,2m 8s,[20],ScS0bBHz
160,21,"December 18, 2541",15:48:55,Annular,42.8S 54.7W,-0.3319,0.9788,80,2m 1s,[21],rXKfiFu
160,22,"December 30, 2559",0:17:19,Annular,42.2S 177.9W,-0.3237,0.9808,72,1m 50s,[22],h20uGSiz
160,23,"January 9, 2578",8:49:00,Annular,40.7S 57.7E,-0.3176,0.9831,63,1m 37s,[23],5O8s4
160,24,"January 20, 2596",17:22:01,Annular,38.3S 67.6W,-0.3119,0.9862,51,1m 20s,[24],VF23iR
