County,Kerry,Votes,Bush,Votes,Others,Votes
Yates,39.3%,"4,205",58.9%,"6,309",1.8%,197
Schoharie,38.7%,"5,630",59.0%,"8,591",2.3%,336
Livingston,38.4%,"11,504",59.2%,"17,729",2.4%,715
Wayne,38.1%,"15,709",60.0%,"24,709",1.9%,782
Genesee,37.5%,"10,331",60.6%,"16,725",1.9%,524
Orleans,36.0%,"5,959",62.3%,"10,317",1.8%,297
Steuben,34.3%,"14,523",63.8%,"26,980",1.8%,781
Allegany,34.1%,"6,566",63.9%,"12,310",2.0%,394
Wyoming,33.8%,"6,134",64.7%,"11,745",1.6%,285
Hamilton,31.0%,"1,145",67.0%,"2,475",2.0%,72
