County,Kerry,Votes,Bush,Votes,Others,Votes,Noise_Field_1,Random_Column_2,Random_Column_3
Nassau,52.2%,"323,070",46.6%,"288,355",1.1%,"6,918",wDquBvaY,4NJkt,du9neHQ
Clinton,52.2%,"17, 624",45.4%,"15,330",2.3%,782,QwMeWTnR,O7k66B,BRbbBz
Franklin,52.1%,"9,543",45.8%,"8,383",2.1%,390,eEXCj,XmA9onp,m58KE
Schenectady,51.8%,"35,971",46.2%,"32,066",2.1%,"1,432",EmyEfj,cOtx8FMv,kj7SXYt
Columbia,51.2%,"15,929",46.5%,"14,457",2.3%,717,SyYSMmJ,MAuvOx,JGm80i
Monroe,50.6%,"173,497",47.7%,"163,545",1.7%,"5,939",dRfFw,gvWwZI,TSKcTGH
Broome,50.4%,"46,281",47.4%,"43,568",2.2%,"2,041",tTESA,wqa5SjMt,PusSOmDd
Rensselaer,49.7%,"36,075",47.9%,"34,734",2.4%,"1,705",mTjzd,nkC20,39nOyW
Suffolk,49.5%,"315,909",48.5%,"309,949",2.0%,"12,854",dJxiwue,NkI25ET,G2eb4I
Niagara,49.3%,"47,602",48.8%,"47,111",1.9%,"1,867",GArwDO,OMfzY6T,EbMJLEYA
Rockland,48.9%,"64,191",49.6%,"65,130",1.5%,"1,910",cSLNzZ,ZU744,CoqHL
