County,Kerry,Votes,Bush,Votes,Others,Votes
Bronx,82.8%,"283,994",16.5%,"56,701",0.7%,"2,284"
Manhattan,82.1%,"526,765",16.7%,"107,405",1.2%,"7,781"
Brooklyn,74.9%,"514,973",24.3%,"167,149",0.8%,"5,762"
Queens,71.7%,"433,835",27.4%,"165,954",0.9%,"5,603"
Tompkins,64.2%,"27,229",33.0%,"13,994",2.8%,"1,179"
Albany,60.7%,"89,323",37.3%,"54,872",2.0%,"3,004"
Westchester,58.1%,"229,849",40.3%,"159,628",1.6%,"6,293"
Erie,56.4%,"251,090",41.4%,"184,423",2.2%,"9,625"
Saint Lawrence,54.7%,"22,857",43.2%,"18,029",2.1%,869
Ulster,54.3%,"47,602",43.1%,"37,821",2.6%,"2,289"
Onondaga,54.2%,"116,381",43.8%,"94,006",2.0%,"4,202"
