County,Kerry,Votes,Bush,Votes,Others,Votes
Montgomery,44.5%,"9,449",53.4%,"11,338",2.0%,434
Orange,43.8%,"63,394",54.7%,"79,089",1.5%,"2,190"
Chemung,43.7%,"17,080",54.6%,"21,321",1.7%,674
Chenango,43.5%,"9,277",54.3%,"11,582",2.3%,482
Jefferson,43.5%,"16,860",54.7%,"21,231",1.8%,709
Madison,43.3%,"13,121",54.6%,"16,537",2.1%,629
Warren,43.2%',"13,405",54.6%,"16,969",2.2%,685
Oneida,42.8%,"40,792",54.9%,"52,392",2.3%,"2,185"
Richmond (Staten Island),42.7%,"68,448",56.4%,"90,325",0.9%,"1,370"
Washington,42.3%,"10,624",55.1%,"13,827",2.6%,652
