County,Kerry,Votes,Bush,Votes,Others,Votes
Cayuga,48.6%,"17,534",49.2%,"17,743",2.1%,775
Sullivan,48.6%,"15,034",49.5%,"15,319",2.0%,613
Otsego,47.7%,"12,723",50.1%,"13,342",2.2%,587
Dutchess,47.0%,"58,232",51.2%,"63,372",1.8%,"2,277"
Cortland,46.9%,"10,670",51.0%,"11,613",2.1%,477
Oswego,46.8%,"24,133",51.0%,"26,325",2.2%,"1,149"
Essex,45.9%,"8,768",51.7%,"9,869",2.3%,445
Saratoga,45.6%,"48,730",52.5%,"56,158",1.9%,"1,985"
Seneca,45.5%,"6,979",52.1%,"7,981",2.4%,365
Chautauqua,44.7%,"27,257",53.2%,"32,434",2.1%,"1,251"
