County,Kerry,Votes,Bush,Votes,Others,Votes
Ontario,42.2%,"21,166",55.9%,"27,999",1.9%,937
Putnam,42.0%,"19,575",56.6%,"26,356",1.4%,632
Fulton,41.4%,"9,202",56.6%,"12,570",2.0%,443
Delaware,41.2%,"8,724",56.5%,"11,958",2.3%,484
Herkimer,41.2%,"11,675",56.6%,"16,024",2.2%,611
Tioga,40.6%,"9,694",57.6%,"13,762",1.9%,446
Schuyler,40.1%,"3,445",57.7%,"4,960",2.2%,185
Greene,39.9%,"8,933",58.0%,"12,996",2.1%,469
Lewis,39.9%,"4,546",58.1%,"6,624",2.0%,227
Cattaraugus,39.4%,"13,514",58.5%,"20,051",2.0%,697
