No.,Constituency,Winner Candidate,Party,Votes,Margin
39,Viramgam,Tejeshree Patel,INC,84930,16983
40,Sanand,Karamsibhai Virjibhai Patel,INC,73453,4148
41,Ghatlodiya,Anandiben Patel,BJP,154599,110395
42,Vejalpur,Chauhan Kishorsinh Babulal,BJP,113507,40985
43,Vatva,Pradipsinh Bhagwatsinh Jadeja,BJP,95580,46932
44,Ellisbridge,Rakesh Shah,BJP,106631,76672
45,Naranpura,Amit Shah,BJP,103988,63335
46,Nikol,Panchal Jagdish Ishwarbhai,BJP,88886,49302
47,Naroda,Wadhwani Nirmalaben Sunilbhai,BJP,96333,58352
48,Thakkar Bapanagar,Kakadiya Vallabhbhai Gobarbhai,BJP,88731,49251
49,Bapunagar,Rajput Jagrupsinh Girdansinh,BJP,51058,2603
50,Amraiwadi,Patel Hasmukhbhai Somabhai,BJP,108683,65425
51,Dariyapur,Gyasuddin Habibuddin Shekh,INC,60967,2621
52,Jamalpur-Khadia,Bhatt Bhushan Ashok,BJP,48058,6331
53,Maninagar,Narendra Modi,BJP,120470,34097
54,Danilimda,Shailesh Manubhai Parmar,INC,73573,14301
55,Sabarmati,Arvindkumar Gandalal Patel,BJP,107036,67583
56,Asarwa,Rajanikant Mohanlal Patel,BJP,76829,35045
