No.,Constituency,Winner Candidate,Party,Votes,Margin
111,Umreth,Jayantbhai Ramanbhai Patel,NCP,67363,1394
112,Anand,Dilipbhai Manibhai Patel,BJP,82956,987
113,Petlad,Niranjan Patel,INC,77312,12192
114,Sojitra,Parmar Punambhai Madhabhai,INC,65210,162
115,Matar,Chauhan Devusinh Jesingbhai,BJP,71021,6487
116,Nadiad,Desai Pankaj Vinubhai,BJP,75335,6587
117,Mahemdabad,Gautambhai Ravjibhai Chauhan,INC,68767,4181
118,Mahudha,Thakor Natvarsinh Fulsinh,INC,58373,13230
119,Thasra,Parmar Ramsinh Prabhatsinh,INC,78226,5500
120,Kapadvanj,Shankersinh Vaghela,INC,88641,6597
121,Balasinor,Chauhan Mansinh Kohyabhai,INC,87088,17171
122,Lunawada,Malivad Kalubhai Hirabhai,BJP,72814,3701
123,Santrampur,Damor Gendalbhai Motibhai,INC,68026,25654
124,Shehra,Ahir Jethabhai Ghelabhai,BJP,76468,28725
125,Morva Hadaf,Khant Savitaben Vechatbhai,INC,56886,11289
126,Godhra,C. K. Raul,INC,73367,2868
127,Kalol,RATHOD ARVINDSINH DAMSINH,BJP,69275,30056
128,Halol,Parmar Jaydrathsinh Chandrasinh,BJP,93854,33206
