No.,Constituency,Winner Candidate,Party,Votes,Margin
20,Kheralu,Bharatsinhji Dabhi,BJP,68195,18386
21,Unjha,Patel Narayanbhai Lalludas,BJP,75708,24201
22,Visnagar,Patel Rushikesh Ganeshbhai,BJP,76185,29399
23,Becharaji,Patel Rajanikant Somabhai,BJP,68447,6456
24,Kadi,Chavada Rameshbhai Maganbhai,INC,84276,1217
25,Mehsana,Nitinbhai Patel,BJP,90134,24205
26,Vijapur,Patel Prahladbhai Ishvarbhai,INC,70729,8759
27,Himmatnagar,Chavda Rajendrasinh Ranjitsinh,INC,85008,12356
28,Idar,Ramanlal Vora,BJP,90279,11380
29,Khedbrahma,Ashvin Kotwal,INC,88488,50137
30,Bhiloda,Anil Joshiyara,INC,95799,31543
31,Modasa,Thakor Rajendrasinh Shivsinh,INC,88879,22858
32,Bayad,Vaghela Mahendrasinh Shankersinh,INC,74646,35923
33,Prantij,Baraiya Mahendrasinh Kacharsinh,INC,76097,7014
34,Dehgam,Kaminiba Rathod,INC,61043,2297
35,Gandhinagar South,Thakor Shambhuji Chelaji,BJP,87999,8011
36,Gandhinagar North,Patel Ashokkumar Ranchhodbhai,BJP,73551,4225
37,Mansa,Chaudhari Amitbhai Harisingbhai,INC,78068,8028
38,Kalol,THAKOR BALDEVJI CHANDUJI,INC,64757,343
