No.,Constituency,Winner Candidate,Party,Votes,Margin
93,Una,Vansh Punjabhai Bhimabhai,INC,69824,7507
94,Dhari,Kotadiya Nalinbhai Nanjibhai,GPP,41516,1575
95,Amreli,Paresh Dhanani,INC,86583,29893
96,Lathi,Bavkubhai Nathabhai Undhad,INC,48793,2764
97,Savarkundla,Vaghasiya Vallabhbhai Vasharambhai,BJP,37246,2384
98,Rajula,Solanki Hirabhai Odhavjibhai,BJP,75447,18710
99,Mahuva,Makwana Bhavanaben Raghvbhai,BJP,57498,28352
100,Talaja,Shyal Bhartiben Dhirubhai,BJP,66357,32844
101,Gariadhar,Keshubhai Hirjibhai Nakran,BJP,53377,16028
102,Palitana,Rathod Pravinbhai Jinabhai,INC,69396,14325
103,Bhavnagar Rural,Parshottam Solanki,BJP,83980,18554
104,Bhavnagar East,Vibhavari Dave,BJP,85375,39508
105,Bhavnagar West,Jitu Vaghani,BJP,92584,53893
106,Gadhada,Atmaram Makanbhai Parmar,BJP,66415,10342
107,Botad,Maniya Thakarshibhai Devjibhai,BJP,86184,10005
108,Khambhat,Patel Sanjaykumar Ramanbhai,BJP,74761,15386
109,Borsad,Parmar Rajendrasinh Dhirsinh,INC,83621,21034
110,Anklav,Amit Chavda,INC,81575,30319
