No.,Constituency,Winner Candidate,Party,Votes,Margin,Irrelevant_1,Unused_2,Dummy_Col_3
75,Dhoraji,Vitthalbhai Hansrajbhai Radadiya,INC,76189,26258,mek9fW,,LQAAxJX
76,Kalavad,Chavda Meghjibhai Amarabhai,BJP,49027,6119,EdriV,,Okcmtbg
77,Jamnagar Rural,Raghavji Hansraj Patel,INC,60499,3304,EoBTqK1G,,jYePbLe
78,Jamnagar North,Jadeja Dharmendrasinh Merubha,INC,61642,9448,At2OgLq,,rIZRTM
79,Jamnagar South,Trivedi Vasuben Narendrabhai,BJP,55894,2862,igsKGBZt,,HZbaQGH
80,Jam Jodhpur,Shapriya Chimanbhai Dharamshibhai,BJP,75395,28191,VhG2tHu,,TMVOgK
81,Khambhalia,Poonamben Hematbhai Maadam,BJP,79087,38382,yus6HZ,,WkyFXuWS
82,Dwarka,Pabubha Virambha Manek,BJP,70062,5616,wDCvA2Lv,,HnulH
83,Porbandar,Babubhai Bhimabhai Bokhiria,BJP,77604,17146,dsetkK,,QNVvf
84,Kutiyana,Kandhal Sarmanbhai Jadeja,NCP,61416,18474,oWtOVqur,,vPwYNf
85,Manavadar,Chavda Jawaharbhai Pethalajibhai,INC,72879,4402,jWD3b,,OkbtL
86,Junagadh,Mashru Mahendrabhai Liladharbhai,BJP,66669,13796,nhNm6X,,niQxz
87,Visavadar,Keshubhai Patel,GPP,85967,42186,lXQ7J2,,vyqGhDn
88,Keshod,Arvindbhai Keshavbhai Ladani,BJP,53772,7937,GR6p7bmp,,ncunTfS
89,Mangrol,Chudasama Rajeshbhai Naranbhai,BJP,68452,15714,I08wq3,,mKtoKWRd
90,Somnath,Barad Jasabhai Bhanabhai,INC,56701,2096,BIEdk,,yTlmb
91,"Talala, Gujarat",Jashubhai Dhanabhai Barad,INC,62722,1478,PN5oiyyA,,BCruuolC
92,Kodinar,Solanki Jethabhai Danabhai,BJP,63319,8477,x4sH7W,,kSTRWib
