No.,Constituency,Winner Candidate,Party,Votes,Margin
165,Majura,Sanghvi Harsh Rameshkumar,BJP,103577,71556
166,Katargam,Vanani Nanubhai Bhagavanbhai,BJP,88604,43272
167,Surat West,Kishorbhai Ratilalvankawala,BJP,99099,69731
168,Choryasi,Patel Rajendrabhai Parabhubhai,BJP,119917,67638
169,Bardoli,Parmar Ishwarbhai Alias Anilbhai Ramanbhai,BJP,81049,22272
170,Mahuva,Dhodiya Mohanbhai Dhanjibhai,BJP,74161,11687
171,Vyara,Punabhai Dhedabhai Gamit,INC,73138,13556
172,Nizar,Gamit Kantilalbhai Reshmabhai,BJP,90191,9924
173,Dang,Gavit Mangalbhai Gangajibhai,INC,45637,2422
174,Jalalpore,R C Patel,BJP,76797,17867
175,Navsari,Desai Piyushbhai Dinkarbhai,BJP,81601,15981
176,Gandevi,Mangubhai Chhaganbhai,BJP,104417,26177
177,Vansda,Chaudhari Chhanabhai Kolubhai,INC,105829,25616
178,Dharampur,Patel Ishwarbhai Dhedabhai,INC,82319,15298
179,Valsad,Bharatbhai Kikubhai Patel,BJP,93658,35999
180,Pardi,Kanubhai Mohanlal Desai,BJP,84563,37311
181,Kaprada,Chaudhari Jitubhai Harajibhai,INC,85780,18685
182,Umbergaon,Ramanlal Nanubhai Patkar,BJP,69450,28299
