No.,Constituency,Winner Candidate,Party,Votes,Margin,Dummy_Col_1,Unused_2,Extra_Data_3
57,Daskroi,Patel Babubhai Jamnadas,BJP,95813,37633,zmKch,,169
58,Dholka,Chudasama Bhupendrasinh Manubha,BJP,75242,18845,qrTts,,567
59,Dhandhuka,Kolipatel Laljibhai Chaturbhai,BJP,77573,28277,oxiVxwIr,,245
60,Dasada,Makwana Punambhai Kalabhai,BJP,65404,10640,uYbYNRF,,283
61,Limbdi,Kolipatel Somabhai Gandalal,INC,72203,1561,APkFvL,,877
62,Wadhwan,Doshi Varshaben Narendrabhai,BJP,83049,17558,AICQXUa,,120
63,Chotila,Shamjibhai Bhimjibhai Chauhan,BJP,72111,11972,Jnemz,,570
64,Dhrangadhra,Kavadiya Jayantibhai Ramjibhai,BJP,87621,17403,oanhf,,217
65,Morbi,Kantilal Amrutiya,BJP,77386,2760,LvaAj,,385
66,Tankara,Kundariya Mohanbhai Kalyanjibhai,BJP,63630,15407,wtQfq,,127
67,Wankaner,Pirzada Mahamadjavid Abdulmutalib,INC,59038,5311,pvzPbnP,,958
68,Rajkot East,Rajguru Indranil Sanjaybhai,INC,60877,4272,oGQFJnBI,,755
69,Rajkot West,Vajubhai Vala,BJP,90405,24978,kKajzPA,,993
70,Rajkot South,Govind Patel,BJP,77308,28477,UpVRBmem,,452
71,Rajkot Rural,Bhanuben Manoharbhai Babariya,BJP,57753,11466,TMWmap,,469
72,Jasdan,Gohel Bholabhai Bhikhabhai,INC,78055,10847,VsUUQjGX,,68
73,Gondal,Jadeja Jayrajsinh Temubha,BJP,79709,19766,cZaVvGDx,,955
74,Jetpur,Radadiya Jayeshbhai Vitthalbhai,INC,85827,18033,IuuMynW,,883
