No.,Constituency,Winner Candidate,Party,Votes,Margin
147,Karjan,Satish Patel,BJP,68225,3489
148,Nandod,Tadvi Shabdasharan Bhailalbhai,BJP,79580,15727
149,Dediapada,Motilal Vasava,BJP,56471,2555
150,Jambusar,Chhatrasinhji Pujabhai Mori,BJP,74864,18730
151,Vagra,Arunsinh Ajitsinh Rana,BJP,68512,14318
152,Zaghadia,Vasava Chhotubhai Amarsinh,JD(U),66622,13304
153,Bharuch,Dushyantbhai Rajnikant Patel,BJP,92219,37190
154,Ankleshwar,Ishwarsinh Thakorbhai Patel,BJP,82645,31443
155,Olpad,Patel Mukeshbhai Zinabhai,BJP,106805,37058
156,Mangrol,Ganpatsinh Vestabhai Vasava,BJP,79255,31106
157,Mandvi,Vasava Parbhubhai Nagarbha,INC,83298,24394
158,Kamrej,Pansheriya Prafulbhai Chhaganbhai,BJP,126032,61371
159,Surat East,Gilitwala Ranjitbhai Mangubhai,BJP,72649,15789
160,Surat North,Choksi Ajaykumar Jashvantlal,BJP,59690,22034
161,Varachha Road,Kanani Kishorbhai Shivabhai,BJP,68529,20359
162,Karanj,Kachhadiya Janakbhai Manjibhai,BJP,65696,49439
163,Limbayat,Patil Sangitaben Rajendrabhai,BJP,79744,30321
164,Udhna,Narottambhai Patel,BJP,74946,32754
