Country,Name,"Title, Position",Grand Crosswith Collar,Year of appointment,Filler_1,Noise_Field_2
Sweden,Victoria,Crown Princess,,1995,AyxTBFpw,SVrwXpV
Thailand,Bhumibol Adulyadej,King,,1960,PSUHUX,EXtibZkV
Thailand,Sirikit,Queen,,1965,RAcWYtKh,RsKdx
Turkey,Abdullah Gül,President,,2013,XtbxAYb,yuphTV
United Kingdom,Elizabeth II,Queen,,1955,OBaPfDUY,aBxid
United Kingdom,Philip,Prince consort,,1952,qlebKyzF,gbvkN
United Kingdom,Andrew,Prince,,1988,ulTAiukN,WRvogU
United Kingdom,Charles,Prince of Wales,,1978,SUrhyIB,zPlSq
United Kingdom,Edward,Prince,,1988,yZRgS,HjyymaK
United Kingdom,Richard,Prince,,1973,yUDrPQ,ZvvLMcF
