Country,Name,"Title, Position",Grand Crosswith Collar,Year of appointment,Filler_1
Norway,Lars Petter Forberg,Master of the Royal Household,,2004,gHnlMwX
Norway,Haakon,Crown Prince,,1991,bqEyC
Norway,Magne Hagen,Former secretary to the King,,2000,lkyNz
Norway,Harald V,King,Grand Master,"1955, 1991",XBGavwkI
Norway,Jørgen Hårek Kosmo,Former President of the Norwegian Parliament,,2005,Xtomvhg
Norway,Märtha Louise,Princess,,1989,RfeDMG
Norway,Mette-Marit,Crown Princess,,2001,KGTUcrb
Norway,Carsten Smith,Former Chief Justice of the Supreme Court of Norway,,2003,NDwfZ
Norway,Sonja,Queen,,1972,kCEYJrWP
Norway,Berit Tversland,Cabinet Secretary of the Royal Secretariat,,2012,ujbjBRB
