Country,Name,"Title, Position",Grand Crosswith Collar,Year of appointment,Random_Column_1
Denmark,Joachim,Prince,,1991,eJKtyRJ
Denmark,Margrethe II,Queen,,1958,QCYeE
Denmark,Mary,Crown Princess,,2005,7Wd78h
Estonia,Arnold Rüütel,Former President,,2002,HRZPUr
Finland,Martti Ahtisaari,Former President,,1994,VsDVf
Finland,Mauno Koivisto,Former President,,1983,EHq09d8
Finland,Sauli Niinistö,President,,2012,NZS0JmzE
Finland,Tarja Halonen,Former President,,2000,Ms640oj5
France,Jacques Chirac,Former President,,2000,gowTsljQ
France,Valéry Giscard d'Estaing,Former President,,1962,lCtIePPP
Germany,Roman Herzog,Former President,,1998,MXHGEb
