Country,Name,"Title, Position",Grand Crosswith Collar,Year of appointment
Poland,Bronislaw Komorowski,President,,2012
Poland,Aleksander Kwaśniewski,Former President,,1996
Poland,Lech Wałęsa,Former President,,1995
Portugal,António Ramalho Eanes,Former President,,1978
Portugal,Jorge Sampaio,Former President,,2004
Portugal,Aníbal Cavaco Silva,President,,2008
Romania,Emil Constantinescu,Former President,,1999
Slovakia,Ivan Gašparovič,President,,2010
Slovenia,Danilo Türk,Former President,,2011
Spain,Cristina,Princess,,1995
