Month,Day,Visitor,Score,Home,Score,Random_Column_1,Unused_2,Extra_Data_3
Jan.,2,Wanderers,6,Victorias,5 (10' overtime),KJ7VT,,271
Jan.,5,Montreal,5,Shamrocks,3,lw4b0W,,673
Jan.,5,Quebec,1,Ottawa,6,gquEo8Tv,,463
Jan.,9,Wanderers,6,Montreal,3,XrhMofj,,399
Jan.,12,Ottawa,2,Wanderers,4,whgVcif,,474
Jan.,12,Victorias,10,Quebec,1,enIHxdbq,,939
Jan.,16,Victorias,16,Shamrocks,3,FfGP8ZI,,330
Jan.,19,Shamrocks,2,Ottawa,6,aHX9lAq,,700
Jan.,19,Quebec,8,Montreal,15,bemBbi,,5
Jan.,23,Victorias,12,Montreal,6,PSpyJs9j,,649
