Rank,Bib,Name,Nation,Run 1,Rank,Run 2,Rank,Total,Difference
,93,Ronnie Kiek-Gedalyahu,Israel,1:23.38,84,DNQ,,,
,96,Chiara Marano,Brazil,1:24.16,85,DNQ,,,
,113,Anne Libak Nielsen,Denmark,1:25.08,86,DNQ,,,
,105,Donata Hellner,Hungary,1:26.97,87,DNQ,,,
,102,Liu Yu,China,1:27.03,88,DNQ,,,
,109,Lida Zvoznikova,Kyrgyzstan,1:27.17,89,DNQ,,,
,103,Szelina Hellner,Hungary,1:27.27,90,DNQ,,,
,114,Irina Volkova,Kyrgyzstan,1:29.73,91,DNQ,,,
,106,Svetlana Baranova,Uzbekistan,1:30.62,92,DNQ,,,
,108,Tatjana Baranova,Uzbekistan,1:31.81,93,DNQ,,,
,110,Fatemeh Kiadarbandsari,Iran,1:32.16,94,DNQ,,,
