Rank,Bib,Name,Nation,Run 1,Rank,Run 2,Rank,Total,Difference
25,15,Andrea Fischbacher,Austria,1:09.13,16,1:14.40,26,2:23.53,+2.99
26,39,Marusa Ferk,Slovenia,1:10.35,29,1:13.70,18,2:24.05,+3.51
27,23,Irene Curtoni,Italy,1:09.56,22,1:14.50,27,2:24.06,+3.52
28,35,Britt Janyk,Canada,1:10.18,28,1:15.55,32,2:25.73,+5.19
29,41,Wendy Holdener,Switzerland,1:10.63,32,1:15.17,30,2:25.80,+5.26
30,28,Veronika Staber,Germany,1:10.80,33,1:15.16,28,2:25.96,+5.42
31,32,María José Rienda,Spain,1:11.24,37,1:15.13,29,2:26.37,+5.83
32,48,Andrea Jardi,Spain,1:11.03,35,1:15.52,31,2:26.55,+6.01
33,36,Carolina Ruiz Castillo,Spain,1:10.93,34,1:15.98,33,2:26.91,+6.37
34,30,Megan McJames,United States,1:11.13,36,1:16.49,35,2:27.62,+7.08
35,43,Denise Feierabend,Switzerland,1:11.37,38,1:16.61,36,2:27.98,+7.44
36,44,Kristina Saalova,Slovakia,1:12.22,42,1:16.44,34,2:28.66,+8.12
