Rank,Bib,Name,Nation,Run 1,Rank,Run 2,Rank,Total,Difference
13,2,Tanja Poutiainen,Finland,1:08.59,11,1:13.29,11,2:21.88,+1.34
14,12,Anemone Marmottan,France,1:08.54,10,1:13.80,21,2:22.34,+1.80
15,31,Veronika Zuzulova,Slovakia,1:09.76,25,1:12.81,6,2:22.57,+2.03
16,11,Julia Mancuso,United States,1:08.82,12,1:13.77,20,2:22.59,+2.05
17,27,Sara Hector,Sweden,1:10.37,30,1:12.30,3,2:22.67,+2.13
18,24,Lena Dürr,Germany,1:08.94,14,1:13.75,19,2:22.69,+2.15
19,29,Anne-Sophie Barthet,France,1:09.55,21,1:13.18,9,2:22.73,+2.19
20,17,Lara Gut,Switzerland,1:08.91,13,1:13.92,24,2:22.83,+2.29
21,21,Sarah Schleper,United States,1:09.75,24,1:13.12,8,2:22.87,+2.33
22,10,Maria Pietilä-Holmner,Sweden,1:09.15,17,1:13.87,23,2:23.02,+2.48
23,22,Marie-Michèle Gagnon,Canada,1:09.95,27,1:13.37,12,2:23.32,+2.78
24,25,Marie-Pier Prefontaine,Canada,1:09.91,26,1:13.58,17,2:23.49,+2.95
