Rank,Bib,Name,Nation,Run 1,Rank,Run 2,Rank,Total,Difference
,86,Kristina Krone,Puerto Rico,1:17.93,73,DNQ,,,
,88,Nicole Valcareggi,Greece,1:18.19,74,DNQ,,,
,100,Sophie Fjellvang-Sølling,Denmark,1:18.37,75,DNQ,,,
,95,Ornella Oettl Reyes,Peru,1:18.61,76,DNQ,,,
,73,Xia Lina,China,1:19.12,77,DNQ,,,
,94,Kseniya Grigoreva,Uzbekistan,1:19.16,78,DNQ,,,
,87,Tugba Dasdemir,Turkey,1:21.50,79,DNQ,,,
,92,Malene Madsen,Denmark,1:22.25,80,DNQ,,,
,84,Liu Yang,China,1:22.80,81,DNQ,,,
,91,Yom Hirshfeld,Israel,1:22.87,82,DNQ,,,
,75,Salome Bancora,Argentina,1:23.08,83,DNQ,,,
