Rank,Bib,Name,Nation,Run 1,Rank,Run 2,Rank,Total,Difference
37,51,Katerina Paulathova,Czech Republic,1:12.10,41,1:16.71,38,2:28.81,+8.27
38,52,Jana Gantnerova,Slovakia,1:12.01,39,1:17.29,41,2:29.30,+8.76
39,46,Vladislava Bureeva,Russia,1:12.83,45,1:16.63,37,2:29.46,+8.92
40,37,Mizue Hoshi,Japan,1:10.43,31,1:19.53,53,2:29.96,+9.42
41,34,Emi Hasegawa,Japan,1:12.67,44,1:17.58,43,2:30.25,+9.71
42,62,Žana Novaković,Bosnia and Herzegovina,1:13.05,46,1:17.24,40,2:30.29,+9.75
43,42,Sofija Novoselić,Croatia,1:13.18,48,1:17.40,42,2:30.58,+10.04
44,49,Jana Skvarkova,Slovakia,1:13.63,50,1:17.22,39,2:30.85,+10.31
45,40,Maria Belen Simari Birkner,Argentina,1:13.14,47,1:17.84,44,2:30.98,+10.44
46,50,Moe Hanaoka,Japan,1:13.20,49,1:18.56,47,2:31.76,+11.22
47,65,Maria Shkanova,Belarus,1:13.86,53,1:18.28,45,2:32.14,+11.60
48,55,Katarzyna Karasinska,Poland,1:13.92,54,1:18.46,46,2:32.38,+11.84
