Rank,Bib,Name,Nation,Run 1,Rank,Run 2,Rank,Total,Difference
,107,Ziba Kalhor,Iran,1:32.64,95,DNQ,,,
,104,Paraskevi Mavridou,Greece,1:32.83,96,DNQ,,,
,99,Marjan Kalhor,Iran,1:34.94,97,DNQ,,,
,112,Mitra Kalhor,Iran,1:37.93,98,DNQ,,,
,115,Laura Bauer,South Africa,1:42.19,99,DNQ,,,
,111,Sarah Ekmekejian,Lebanon,1:42.22,100,DNQ,,,
,18,Fabienne Suter,Switzerland,DNS,,,,,
,98,Maja Klepić,Bosnia and Herzegovina,DNS,,,,,
,33,Agniezska Gasienica Daniel,Poland,DNF,,,,,
,53,Karolina Chrapek,Poland,DNF,,,,,
,54,Mireia Gutierrez,Andorra,DNF,,,,,
