Rank,Bib,Name,Nation,Run 1,Rank,Run 2,Rank,Total,Difference
,45,Tea Palić,Croatia,1:14.73,61,DNQ,,,
,74,Macarena Simari Birkner,Argentina,1:15.18,62,DNQ,,,
,72,Lavinia Chrystal,Australia,1:15.35,63,DNQ,,,
,81,Lelde Gasuna,Latvia,1:15.37,64,DNQ,,,
,64,Aleksandra Klus,Poland,1:15.41,65,DNQ,,,
,78,Nino Tsiklauri,Georgia,1:15.54,66,DNQ,,,
,66,Sarah Jarvis,New Zealand,1:15.94,67,DNQ,,,
,61,Anna Berecz,Hungary,1:15.95,68,DNQ,,,
,83,Sandra-Elena Narea,Romania,1:16.67,69,DNQ,,,
,85,Iulia Petruta Craciun,Romania,1:16.80,70,DNQ,,,
,82,Isabel van Buynder,Belgium,1:17.06,71,DNQ,,,
,97,Liene Fimbauere,Latvia,1:17.83,72,DNQ,,,
