Name,Year,Credited With,Publisher,Filler_1,Irrelevant_2,Unused_3
Stacking,2011,creative director,"Double Fine, THQ",KwbFwT,mZIXgz6H,
Iron Brigade,2011,creative director,"Double Fine, Microsoft Studios",NGEsZC,VzVgx8Ux,
Sesame Street: Once Upon a Monster,2011,creative director,"Double Fine, Warner Bros. Interactive Entertainment",huZvqOr,6K3TfE,
Haunt,2012,voice actor,"NanaOn-Sha, Zoë Mode, Microsoft Studios",nBeQi,7X4vR,
Double Fine Happy Action Theater,2012,director,"Double Fine, Microsoft Studios",ULsaGK,Ahk56wV9,
Middle Manager of Justice,2012,creative director,"Double Fine, Dracogen",HdrVZe,KSG0Hlu,
Kinect Party,2012,creative director,"Double Fine, Microsoft Studios",wfdRPUJU,6IlqC,
The Cave,2013,studio creative director,"Double Fine, Sega",RiQJNJzR,qDRl5lF,
Dropchord,2013,creative director,"Double Fine, Dracogen",buBszmt,9YL2y,
Spacebase DF-9,2013,creative director,"Double Fine, Indie Fund",mDJoErAR,TgJUIEXf,
Broken Age,2014,"director, writer",Double Fine,mvhErBp,uA6SDK9X,
Massive Chalice,2014,creative director,Double Fine,YNSDE,4BfMoPB,
