Name,Year,Credited With,Publisher
Indiana Jones and the Last Crusade: The Action Game,1989,tester,LucasArts
Maniac Mansion (NES port),1990,"tools programmer, SCUMM",LucasArts
The Secret of Monkey Island,1990,"co-writer, programmer, additional designer",LucasArts
Monkey Island 2: LeChuck's Revenge,1991,"co-writer, programmer, additional designer",LucasArts
Maniac Mansion: Day of the Tentacle,1993,"co-designer, co-producer, co-director, co-writer",LucasArts
Full Throttle,1995,"project leader, writer, designer",LucasArts
The Curse of Monkey Island,1997,additional design,LucasArts
Grim Fandango,1998,"project leader, writer, designer",LucasArts
Star Wars: Shadows of the Empire,1999,Never actively tried to sabotage the project,LucasArts
Psychonauts,2005,"creative director, co-writer, designer","Double Fine, Majesco"
Brütal Legend,2009,"creative director, writer, designer","Double Fine, Electronic Arts"
Costume Quest,2010,"creative director, writer","Double Fine, THQ"
