Season,League,Gold,Silver,Bronze,Winning manager
1992,Tippeligaen,Rosenborg*,Kongsvinger,Start,Nils Arne Eggen
1993,Tippeligaen,Rosenborg,Bodø/Glimt,Lillestrøm,Nils Arne Eggen
1994,Tippeligaen,Rosenborg,Lillestrøm,Viking,Nils Arne Eggen
1995,Tippeligaen,Rosenborg*,Molde,Bodø/Glimt,Nils Arne Eggen
1996,Tippeligaen,Rosenborg,Lillestrøm,Viking,Nils Arne Eggen
1997,Tippeligaen,Rosenborg,Brann,Strømsgodset,Nils Arne Eggen
1998,Tippeligaen,Rosenborg,Molde,Stabæk,Trond Sollied
1999,Tippeligaen,Rosenborg*,Molde,Brann,Nils Arne Eggen
2000,Tippeligaen,Rosenborg,Brann,Viking,Nils Arne Eggen
2001,Tippeligaen,Rosenborg,Lillestrøm,Viking,Nils Arne Eggen
2002,Tippeligaen,Rosenborg,Molde,Lyn,Nils Arne Eggen
