Season,League,Gold,Silver,Bronze,Winning manager
1957–58,Main League,Viking,Skeid,—,Georg MonsenWilliam DanielsenJens Opsahl
1958–59,Main League,Lillestrøm,Fredrikstad,—,Karl GudmundsonRolf Brubak
1959–60,Main League,Fredrikstad*,Lillestrøm,Eik-Tønsberg,
1960–61,Main League,Fredrikstad,Eik-Tønsberg,Vålerenga,
1961–62,Main League,Brann,Steinkjer,Fredrikstad,Oddvar Hansen
1963,First Division,Brann,Lyn,Skeid,Oddvar Hansen
1964,First Division,Lyn,Fredrikstad,Sarpsborg,John Sveinsson
1965,First Division,Vålerenga,Lyn,Sarpsborg,Anton Ploderer
1966,First Division,Skeid,Fredrikstad,Lyn,
1967,First Division,Rosenborg,Skeid,Lyn,Knut Næss
1968,First Division,Lyn*,Rosenborg,Viking,Knut Osnes
1969,First Division,Rosenborg,Fredrikstad,Strømsgodset,George Curtis
