Season,League,Gold,Silver,Bronze,Winning manager,Dummy_Col_1,Irrelevant_2,Filler_3
1970,First Division,Strømsgodset*,Rosenborg,Ham-Kam,Einar Larsen,BwzvQcK,mW0xoS,euLLCU
1971,First Division,Rosenborg*,Lyn,Viking,Nils Arne Eggen,ntyQZePO,2yfqrt,ZNhiA
1972,First Division,Viking,Fredrikstad,Strømsgodset,Kjell Schou-Andreassen,pktnm,qW1iZc1,BOUep
1973,First Division,Viking,Rosenborg,Start,Sverre Andersen,IrusyNFG,IubDcWUk,LAskDt
1974,First Division,Viking,Molde,Vålerenga,Stuart Williams,KceHAi,Mh6Kyj,vPzwal
1975,First Division,Viking,Brann,Start,Olav Nilsen,uckmvpSy,xr3vluJZ,ymzhLyq
1976,First Division,Lillestrøm,Mjøndalen,Brann,Joar Hoff,qyxcEx,Vhn7JgIo,DYlGp
1977,First Division,Lillestrøm*,Bodø/Glimt,Molde,Joe Hooley,XOiLl,2eKhleS,OSoHQW
1978,First Division,Start,Lillestrøm,Viking,Karsten Johannessen,zhmllGm,inuuj,ZLGpg
1979,First Division,Viking*,Moss,Start,Tony Knapp,hoAwV,Rgjuk4j,szjqAq
1980,First Division,Start,Bryne,Lillestrøm,Karsten Johannessen,SDSmkfMK,ui7RBk,yVFVlGJK
