Season,League,Gold,Silver,Bronze,Winning manager,Noise_Field_1
2003,Tippeligaen,Rosenborg*,Bodø/Glimt,Stabæk,Åge Hareide,GVqbUHI
2004,Tippeligaen,Rosenborg,Vålerenga,Brann,Ola By Rise,DXuzez
2005,Tippeligaen,Vålerenga,Start,Lyn,Kjetil Rekdal,yEFlQT
2006,Tippeligaen,Rosenborg,Brann,Vålerenga,Knut TørumPer-Mathias Høgmo,alAFPvrd
2007,Tippeligaen,Brann,Stabæk,Viking,Mons Ivar Mjelde,HRBDvJj
2008,Tippeligaen,Stabæk,Fredrikstad,Tromsø,Jan Jönsson,RoyNJaZ
2009,Tippeligaen,Rosenborg,Molde,Stabæk,Erik Hamrén,ahBATl
2010,Tippeligaen,Rosenborg,Vålerenga,Tromsø,Nils Arne EggenErik Hamrén,nNuSX
2011,Tippeligaen,Molde,Tromsø,Rosenborg,Ole Gunnar Solskjær,lgklJmic
2012,Tippeligaen,Molde,Strømsgodset,Rosenborg,Ole Gunnar Solskjær,UuqtcSs
2013,Tippeligaen,Strømsgodset,Rosenborg,Haugesund,Ronny Deila,tOKCbA
