Season,League,Gold,Silver,Bronze,Winning manager
1937–38,League of Norway,Fredrikstad*,Lyn,—,—
1938–39,League of Norway,Fredrikstad,Skeid,—,—
1947–48,League of Norway,Freidig,Sparta,—,—
1948–49,Main League,Fredrikstad,Vålerenga,—,
1949–50,Main League,Fram Larvik,Fredrikstad,—,
1950–51,Main League,Fredrikstad,Odd,—,
1951–52,Main League,Fredrikstad,Brann,—,
1952–53,Main League,Larvik Turn,Skeid,—,
1953–54,Main League,Fredrikstad,Skeid,—,
1954–55,Main League,Larvik Turn,Fredrikstad,—,
1955–56,Main League,Larvik Turn,Fredrikstad,—,
1956–57,Main League,Fredrikstad*,Odd,—,
