Season,League,Gold,Silver,Bronze,Winning manager
1981,First Division,Vålerenga,Viking,Rosenborg,Leif Eriksen
1982,First Division,Viking,Bryne,Lillestrøm,Kjell Schou-Andreassen
1983,First Division,Vålerenga,Lillestrøm,Start,Gunder Bengtsson
1984,First Division,Vålerenga,Viking,Start,Gunder BengtssonPer Anders Sjøvold
1985,First Division,Rosenborg,Lillestrøm,Vålerenga,Arne DokkenBjørn Hansen
1986,First Division,Lillestrøm,Mjøndalen,Kongsvinger,Tom Lund
1987,First Division,Moss,Molde,Kongsvinger,Nils Arne Eggen
1988,First Division,Rosenborg*,Lillestrøm,Molde,Nils Arne Eggen
1989,First Division,Lillestrøm,Rosenborg,Tromsø,David Hay
1990,First Division,Rosenborg,Tromsø,Molde,Nils Arne Eggen
1991,Tippeligaen,Viking,Rosenborg,Start,Benny Lennartsson
