Season,Level,Division,Section,Position,Movements,Filler_1,Random_Column_2
2003,Tier 3,Division 2,Norrland,10th,Relegation Playoffs,CodLAas,zOpEu
2004,Tier 3,Division 2,Norrland,7th,,HkEDzMw,Yjwixt
2005,Tier 3,Division 2,Norrland,4th,Promoted,ULiiz,2nTO7
2006*,Tier 3,Division 1,Norra,14th,Relegated,Lqzql,6T0dVOMR
2007,Tier 4,Division 2,Norrland,10th,Relegation Playoffs,yOFQIux,X1pDH
2008,Tier 4,Division 2,Norrland,12th,Relegated,eTHdWYQ,Co3SsI
2009,Tier 5,Division 3,Norra Norrland,8th,,PDEvrUg,Z22cL4L5
2010,Tier 5,Division 3,Norra Norrland,3rd,,sHuzhh,YoPR0j
2011,Tier 5,Division 3,Norra Norrland,2nd,Promotion Playoffs,psBhm,bJFpM1
2012,Tier 5,Division 3,Norra Norrland,3rd,,zSfAjSt,0hmn5GPG
