Team,Seasons,Games,Wins,Ties,Losses,GoalsFor,GoalsAgainst,GoalDiff,Points
Montreal Canadiens,94,"6,120","3,135",837,"2,148","19,929","16,416","3,513","7,203"
Boston Bruins,87,"5,960","2,856",791,"2,313","19,109","17,459","1,650","6,609"
Detroit Red Wings(Detroit Cougars (1926–1930)Detroit Falcons (1930–1932)),85,"5,894","2,711",815,"2,368","18,385","17,470",915,"6,321"
Toronto Maple Leafs(Toronto Blueshirts (1917–18)Toronto Arenas (1918–19)Toronto St. Patricks (1919–27)),94,"6,120","2,671",783,"2,666","18,853","18,925",-72,"6,221"
New York Rangers,85,"5,894","2,535",808,"2,551","18,080","18,167",-87,"5,965"
Chicago Blackhawks,85,"5,894","2,460",814,"2,620","17,535","17,802",-267,"5,826"
Philadelphia Flyers,44,"3,506","1,756",457,"1,293","11,783","10,270","1,513","4,060"
Buffalo Sabres,41,"3,280","1,569",409,"1,302","10,868","9,875",993,"3,630"
St. Louis Blues,44,"3,506","1,544",432,"1,530","10,876","10,954",-78,"3,621"
Dallas Stars(Minnesota North Stars (1967–1993)),44,"3,506","1,510",459,"1,537","10,813","11,102",-289,"3,559"
Pittsburgh Penguins,44,"3,506","1,507",383,"1,616","11,747","12,233",-486,"3,483"
Los Angeles Kings,44,"3,506","1,428",424,"1,654","11,306","12,016",-710,"3,373"
Calgary Flames(Atlanta Flames (1972–1980)),39,"3,124","1,437",379,"1,308","10,406","9,885",521,"3,347"
