Team,Seasons,Games,Wins,Ties,Losses,GoalsFor,GoalsAgainst,GoalDiff,Points,Random_Column_1,Random_Column_2
Tampa Bay Lightning,19,"1,528",588,112,828,"4,058","4,842",-784,"1,384",NqwIY6g,qHV5WAAs
Nashville Predators,13,"1,066",503,60,503,"2,825","2,884",-59,"1,145",fYCIOXu,Kbo8e
Minnesota Wild,11,902,405,55,442,"2,259","2,338",-79,945,EnrdEL,MAvFn
Winnipeg Jets(Atlanta Thrashers (1999–2011)),12,984,379,45,550,"2,690","3,260",-570,891,iyTYAe,AqiG9r
Columbus Blue Jackets,11,902,342,33,527,"2,220","2,744",-524,803,J4SY76,RkKJaANO
New York Americans (1925–1941)Brooklyn Americans (1941–1942),17,784,255,127,402,"1,643","2,182",-539,637,SKaL8,9L9ibiLp
Montreal Maroons,14,622,271,91,260,"1,474","1,405",69,633,xzH4eR,ELqWew
Ottawa Senators (1917–1934)St. Louis Eagles (1934–1935),17,590,269,69,252,"1,544","1,478",66,607,E2J0VD,Y6mob2DB
Oakland Seals (1967–1970)California Golden Seals (1970–1976)Cleveland Barons (1976–1978),11,858,229,141,488,2296,3197,-901,599,lpqgoR,64SU7
Pittsburgh Pirates (1925–1930)Philadelphia Quakers (1930–1931),6,256,71,27,158,452,703,-251,169,250zYOPI,d6F0Z
Quebec Bulldogs (1919–1920)Hamilton Tigers (1920–1925),6,150,51,1,98,505,652,-147,103,DoOps63,0GYVy
Montreal Wanderers,1,6,1,0,5,17,35,-18,2,ZYHAG,WYcqqqQ
