Name,Completed,Architect,Location,Year of listing & ref(s),Filler_1,Unused_2
Arkwright House,1982,Harry S. Fairhurst,Parsonage Gardens,1982,ixaIwRM,
Apollo Theatre,1930,Unknown,Ardwick,1994,yYFzSVUf,
Barlow Hall,15th century (altered since),Unknown,Chorlton-cum-Hardy,1974 (downgraded in 1994),XzojsSx,
Barnes Hospital,1875,Lawrence Booth,Didsbury,1998,EdBkqqls,
Bridgewater House,1912,Harry Fairhurst,Whitworth Street,,agXJav,
Castlefield Congregational Chapel,1858,Edward Walters,"Deansgate, Castlefield",,PSzIcgwx,
CIS Tower,1962,Gordon Tait,Miller Street,1995,xfrYniG,
Chancellors Hotel & Conference Centre (The Firs),1851,Edward Walters,Fallowfield,1974,mfkQZcP,
Chancellors Hotel & Conference Centre (The Firs Gate Lodge),1851,Edward Walters,Fallowfield,1974,MMtxTku,
Cooperative Press,Late 19th century,Unknown,"Naples Street, Ancoats",1994,jAopb,
