Name,Completed,Architect,Location,Year of listing & ref(s)
Manchester Opera House,1912,Richardson and Gill with Farquarson,Quay Street,1974
Manchester Oxford Road railway station,1960,W. R. Headley and Max Glendinning,Oxford Road,1995
Manchester Piccadilly station Store Street train shed,1881,Unknown,Piccadilly,1994
Manchester Victoria station,1844,Unknown,Hunts Bank,1988
Palace Theatre,1891,Alfred Derbyshire and F.Bennett Smith,Oxford Street,1977
The Ritz,1927,Unknown,Whitworth Street,1994
Royal Exchange,1921,"Bradshaw, Gass & Hope",Cross Street,
Redfern Building,1936,W. A. Johnson and J. W. Cooper,Dantzic Street,1994
Sackville Street Building,1912,Spalding and Cross,Sackville Street,1974
St. James Buildings,1912,"Clegg, Fryer & Penman",65-95 Oxford Street,1988
