,Name,Distance,Date,Location,Irrelevant_1,Extra_Data_2
11.,Mika Halvari,20.08,"August 4, 1993","Kotka, Finland",xADc2,307
12.,Arsi Harju,20.16,"March 2, 1997","Tampere, Finland",Ninb7N2A,183
13.,Timo Aaltonen,20.12,"June 20, 1998","Kuortane, Finland",MjHpXk1,880
14.,Jani Illikainen,20.43,"January 23, 1999","Haaparanda, Sweden",szh49D,124
15.,Ville Tiisanoja,20.06,"July 31, 1999","Espoo, Finland",1OpeV,208
16.,Jarkko Haukijärvi,20.20,"July 1, 2000","Eurajoki, Finland",2HVAN,81
17.,Tepa Reinikainen,20.01,"February 13, 2000","Kuopio, Finland",3BO6SBk,632
18.,Conny Karlsson,20.45,"May 31, 2001","Espoo, Finland",pEXbpTvn,122
19.,Robert Häggblom,20.13,"May 20, 2006","Halle, Germany",HYNqRY,760
20.,Mika Vasara,20.04,"June 4, 2006","Leppävirta, Finland",csFSVm,539
