Name,Firstheld,Country,Earliest attendance figure known,1998 attendance,2000 attendance,2002 Attendance,2004 attendance,2006 attendance,2008 attendance,2010 attendance,2012 Attendance
Project A-kon,1990,USA,380 (1990),1931,4500,6420,9449,12459,15324,17596,21982
AnimeCon,1991,USA,2000 (1991),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
AnimeFEST,1992,USA,105 (1992),650,750,1800,2725,4127,n/a,n/a,n/a
AnimeExpo,1992,USA,1750 (1992),4883,9700,15250,25000,40647,43000,44000,49400
FanimeCon,1994,USA,200 (1994),1700,2300,4600,6122,10000,14926,16000,21000
Animethon,1995,USA,80(1995),2500,1800,n/a,4700,3450,4679,4753,6404
Otakon,1994,USA,350 (1994),2500,7500,12880,20899,22302,26262,29274,32724
Katsucon,1995,USA,500 (1995),1400,2300,3000,4300,5664,6300,n/a,12614
Anime Weekend Atlanta,1997,USA,1350 (1997),1400,2700,,5837,8949,11101,12718,13472
Anime North,1997,Canada,800 (1997),747,1001,3000,7800,11286,13300,16800,22385
Nan Desu Kan,2000,USA,,,1477,2467,2859,5018,5975,n/a,n/a
