Name,Firstheld,Country,Earliest attendance figure known,1998 attendance,2000 attendance,2002 Attendance,2004 attendance,2006 attendance,2008 attendance,2010 attendance,2012 Attendance,Random_Column_1,Unused_2
Nekocon,1998,USA,506(1998),506,1100,n/a,2368,2500,3249,3788,n/a,wmpEYB,
Ohayocon,2001,USA,654(2001),,,1200,3042,4257,7000,10120,40,21hCoNnI,
Yaoi-Con,2001,USA,350 (2001),,,n/a,n/a,n/a,n/a,n/a,n/a,srs9xfq1,
Big Apple Anime Fest,2001,USA,3500(2001),,,7500,n/a,n/a,n/a,n/a,n/a,WnoX4ut,
Ushicon,2002,USA,800(2002),,,800,2200,n/a,n/a,n/a,n/a,Hs5jpuqZ,
Kumoricon,2003,USA,419(2003),,,,1251,2250,4400,4055,n/a,biLxKQv1,
Manifest,2001,Australia,3500(2006),,,n/a,n/a,3500,4800,n/a,n/a,z9Vleqf,
Ikasucon,2003,USA,886(2004),,,,886,n/a,n/a,n/a,n/a,ShlvvUVE,
No Brand Con,2002,USA,115(2002),,,115,300,605,1075,n/a,n/a,ZpR27m1V,
Tekko,2003,USA,600(2003),,,,n/a,1771,n/a,3522,3600,RxJfCG,
